domain,rep,emb_model_key,emb_model_display,metric,value
drugs,Manual,openai,OpenAI 3-large,F1_Oracle_b0,0.7605633802816901
drugs,Manual,openai,OpenAI 3-large,F1_Oracle_b1,0.8214285714285714
drugs,Manual,openai,OpenAI 3-large,F1_CV_b0,0.7272727272727273
drugs,Manual,openai,OpenAI 3-large,F1_CV_b1,0.7547169811320755
drugs,Manual,openai,OpenAI 3-large,AP_b0,0.8228257158949144
drugs,Manual,openai,OpenAI 3-large,AP_b1,0.8462001823308138
drugs,Manual,openai,OpenAI 3-large,QWK_Oracle,0.7032828282828283
drugs,Manual,openai,OpenAI 3-large,QWK_CV,0.61826857532379
weapon,Manual,openai,OpenAI 3-large,F1_Oracle_b0,0.6306306306306306
weapon,Manual,openai,OpenAI 3-large,F1_Oracle_b1,0.7044025157232704
weapon,Manual,openai,OpenAI 3-large,F1_CV_b0,0.5806451612903226
weapon,Manual,openai,OpenAI 3-large,F1_CV_b1,0.6585365853658537
weapon,Manual,openai,OpenAI 3-large,AP_b0,0.6730243937101192
weapon,Manual,openai,OpenAI 3-large,AP_b1,0.7554386964715931
weapon,Manual,openai,OpenAI 3-large,QWK_Oracle,0.5180320313400162
weapon,Manual,openai,OpenAI 3-large,QWK_CV,0.4440972997098862
drugs,GPT-Schema,openai,OpenAI 3-large,F1_Oracle_b0,0.6842105263157895
drugs,GPT-Schema,openai,OpenAI 3-large,F1_Oracle_b1,0.6947368421052632
drugs,GPT-Schema,openai,OpenAI 3-large,F1_CV_b0,0.5970149253731343
drugs,GPT-Schema,openai,OpenAI 3-large,F1_CV_b1,0.6407766990291263
drugs,GPT-Schema,openai,OpenAI 3-large,AP_b0,0.7744496385783336
drugs,GPT-Schema,openai,OpenAI 3-large,AP_b1,0.7981379421986814
drugs,GPT-Schema,openai,OpenAI 3-large,QWK_Oracle,0.5528967254408059
drugs,GPT-Schema,openai,OpenAI 3-large,QWK_CV,0.469847581179589
