verdict_1,verdict_2,domain,source
תפ_29577-11-16,תפ_42806-07-18,drugs,internal_corrected
תפ_2599-09-17,תפ_429-03-17,drugs,external_cocite + internal_corrected
תפ_69865-03-18,תפ_6988-08-22,drugs,internal_corrected
תפ_37875-06-23,תפ_53220-09-24,weapon,internal_corrected
תפ_57910-06-24,תפ_63287-04-21,drugs,internal_corrected
תפ_29159-08-22,תפ_3518-11-18,drugs,external_cocite + internal_corrected
תפ_39034-01-18,תפ_48152-02-20,drugs,internal_corrected
תפ_16389-10-13,תפ_59329-02-18,drugs,internal_corrected
תפ_327-04-17,תפ_45644-11-22,drugs,internal_corrected
תפ_46074-01-24,תפ_61299-12-19,weapon,internal_corrected
תפ_19965-05-12,תפ_59329-02-18,drugs,internal_corrected
תפ_47874-04-19,תפ_5775-02-18,drugs,internal_corrected
תפ_20872-02-14,תפ_55163-03-15,drugs,internal_corrected
תפ_19985-04-14,תפ_47757-02-18,drugs,internal_corrected
תפ_1057-05-15,תפ_327-04-17,drugs,internal_corrected
תפ_18320-05-19,תפ_38312-03-10,drugs,internal_corrected
תפ_46903-02-13,תפ_48152-02-20,drugs,internal_corrected
תפ_30197-04-17,תפ_39019-05-15,drugs,internal_corrected
תפ_12708-04-14,תפ_57912-07-14,drugs,internal_corrected
תפ_305-12-12,תפ_33475-10-17,drugs,internal_corrected
עפ_6029-03,תפ_31628-07-15,drugs,internal_corrected
תפ_43525-01-21,תפ_69865-03-18,drugs,internal_corrected
תפ_39034-01-18,תפ_60295-03-22,drugs,internal_corrected
תפ_51933-05-12,תפ_6308-11-18,drugs,internal_corrected
תפ_33024-01-18,תפ_59117-03-21,drugs,internal_corrected
תפ_1197-11-21,תפ_44877-06-13,drugs,internal_corrected
תפ_16127-05-22,תפ_55217-12-19,drugs,internal_corrected
תפ_45644-11-22,תפ_60394-12-12,drugs,internal_corrected
תפ_1057-05-15,תפ_9369-01-13,drugs,internal_corrected
תפ_42976-08-17,תפ_50301-09-22,weapon,internal_corrected
תפ_27683-01-21,תפ_58167-11-10,drugs,internal_corrected
תפ_30003-03-22,תפ_49244-01-22,drugs,internal_corrected
תפ_26620-12-16,תפ_7091-03-19,drugs,internal_corrected
תפ_20414-08-12,תפ_62573-05-18,drugs,internal_corrected
תפ_13365-08-13,תפ_39324-07-17,drugs,internal_corrected
תפ_42253-12-23,תפ_43983-05-19,drugs,external_cocite + internal_corrected
תפ_33024-01-18,תפ_50079-03-13,drugs,internal_corrected
תפ_58944-08-21,תפ_63287-04-21,drugs,internal_corrected
תפ_52782-09-22,תפ_69852-03-23,weapon,internal_corrected
תפ_38015-01-12,תפ_48537-12-23,weapon,internal_corrected
