rep,domain,metric,llm_mean,best_text_emb,gap,p_raw,p_fdr,p_bonf,sig_raw,sig_fdr,sig_bonf
Manual,drugs,F1_Oracle_b0,0.9117322894104603,0.8205128205128205,0.09121946889763977,0.00048828125,0.0006214488636363636,0.0068359375,True,True,True
Manual,drugs,F1_Oracle_b1,0.8492668433682511,0.8181818181818182,0.031085025186432858,0.0009765625,0.001519097222222222,0.013671875,True,True,True
Manual,drugs,F1_CV_b0,0.8938648668260968,0.7837837837837838,0.11008108304231301,0.00048828125,0.0005258413461538461,0.0068359375,True,True,True
Manual,drugs,F1_CV_b1,0.8352770459245331,0.7924528301886793,0.04282421573585382,0.00244140625,0.003797743055555555,0.0341796875,True,True,True
Manual,drugs,AP_b0,0.956463560911078,0.861599426096489,0.094864134814589,0.00048828125,0.0005696614583333334,0.0068359375,True,True,True
Manual,drugs,AP_b1,0.9168371734334076,0.8963153213687491,0.020521852064658508,0.00244140625,0.0042724609375,0.0341796875,True,True,True
Manual,drugs,QWK_Oracle,0.8585068406136919,0.7620538509705699,0.09645298964312199,0.00048828125,0.0006214488636363636,0.0068359375,True,True,True
Manual,drugs,QWK_CV,0.8427273556351946,0.6671018276762403,0.17562552795895436,0.00048828125,0.0005258413461538461,0.0068359375,True,True,True
Manual,weapon,F1_Oracle_b0,0.7866286612113546,0.6379310344827587,0.14869762672859588,0.00048828125,0.0006214488636363636,0.0068359375,True,True,True
Manual,weapon,F1_Oracle_b1,0.8457046390480688,0.7236842105263158,0.12202042852175299,0.00048828125,0.0009765625,0.0068359375,True,True,True
Manual,weapon,F1_CV_b0,0.7656189005507862,0.5932203389830508,0.17239856156773536,0.00048828125,0.0005258413461538461,0.0068359375,True,True,True
Manual,weapon,F1_CV_b1,0.8280464393420044,0.7074829931972789,0.12056344614472547,0.00048828125,0.0011393229166666667,0.0068359375,True,True,True
Manual,weapon,AP_b0,0.8270154614023242,0.6055982056818153,0.22141725572050885,0.00048828125,0.0005696614583333334,0.0068359375,True,True,True
Manual,weapon,AP_b1,0.8978327080929124,0.7032593468890929,0.19457336120381952,0.00048828125,0.0009765625,0.0068359375,True,True,True
Manual,weapon,QWK_Oracle,0.7629096602237609,0.4858184764991895,0.2770911837245714,0.00048828125,0.0006214488636363636,0.0068359375,True,True,True
Manual,weapon,QWK_CV,0.7432802962089415,0.4152185089974293,0.32806178721151225,0.00048828125,0.0005258413461538461,0.0068359375,True,True,True
Hybrid-Manual,drugs,F1_Oracle_b0,0.8798093826609158,0.8205128205128205,0.05929656214809531,0.00048828125,0.0006214488636363636,0.0068359375,True,True,True
Hybrid-Manual,drugs,F1_Oracle_b1,0.8215932067654103,0.8181818181818182,0.0034113885835920232,0.25244140625,0.35341796875,1.0,False,False,False
Hybrid-Manual,drugs,F1_CV_b0,0.856621839877279,0.7837837837837838,0.07283805609349525,0.00048828125,0.0005258413461538461,0.0068359375,True,True,True
Hybrid-Manual,drugs,F1_CV_b1,0.787620621009055,0.7924528301886793,-0.004832209179624236,0.833984375,0.9729817708333334,1.0,False,False,False
Hybrid-Manual,drugs,AP_b0,0.9296820518101128,0.861599426096489,0.06808262571362378,0.00048828125,0.0005696614583333334,0.0068359375,True,True,True
Hybrid-Manual,drugs,AP_b1,0.8948652096236135,0.8963153213687491,-0.0014501117451356516,0.41552734375,0.5817382812499999,1.0,False,False,False
Hybrid-Manual,drugs,QWK_Oracle,0.8042567439490624,0.7620538509705699,0.04220289297849256,0.00048828125,0.0006214488636363636,0.0068359375,True,True,True
Hybrid-Manual,drugs,QWK_CV,0.7504823608794279,0.6671018276762403,0.08338053320318761,0.00048828125,0.0005258413461538461,0.0068359375,True,True,True
Hybrid-Manual,weapon,F1_Oracle_b0,0.763275866452824,0.6379310344827587,0.1253448319700653,0.00048828125,0.0006214488636363636,0.0068359375,True,True,True
Hybrid-Manual,weapon,F1_Oracle_b1,0.828090199941077,0.7236842105263158,0.1044059894147612,0.00048828125,0.0009765625,0.0068359375,True,True,True
Hybrid-Manual,weapon,F1_CV_b0,0.7289336973764552,0.5932203389830508,0.13571335839340437,0.00048828125,0.0005258413461538461,0.0068359375,True,True,True
Hybrid-Manual,weapon,F1_CV_b1,0.8052226738310821,0.7074829931972789,0.09773968063380323,0.00048828125,0.0011393229166666667,0.0068359375,True,True,True
Hybrid-Manual,weapon,AP_b0,0.8029273144267073,0.6055982056818153,0.19732910874489196,0.00048828125,0.0005696614583333334,0.0068359375,True,True,True
Hybrid-Manual,weapon,AP_b1,0.875546630230335,0.7032593468890929,0.1722872833412421,0.00048828125,0.0009765625,0.0068359375,True,True,True
Hybrid-Manual,weapon,QWK_Oracle,0.7335669682739966,0.4858184764991895,0.24774849177480707,0.00048828125,0.0006214488636363636,0.0068359375,True,True,True
Hybrid-Manual,weapon,QWK_CV,0.704320314355304,0.4152185089974293,0.28910180535787466,0.00048828125,0.0005258413461538461,0.0068359375,True,True,True
