verdict,domain,split
תפ_3725-08-17,drugs,train
תפ_8336-04-14,drugs,train
תפח_17033-01-22,drugs,test
תפ_40239-09-17,drugs,train
תפ_1187-04-22,drugs,train
תפ_48152-02-20,drugs,train
תפ_24548-06-13,drugs,test
תפ_37764-03-21,drugs,test
תפ_13781-01-24,drugs,train
תפ_38315-12-15,drugs,train
תפ_43632-05-17,drugs,train
תפ_34222-02-20,drugs,test
תפ_35566-04-18,drugs,test
תפ_15457-09-18,drugs,train
תפ_58282-05-20,drugs,test
תפ_36216-09-12,drugs,train
תפ_52882-04-15,drugs,train
תפ_23062-12-21,drugs,train
תפ_26494-03-13,drugs,train
תפ_38450-09-20,drugs,test
תפ_42704-01-20,drugs,train
תפ_51140-08-23,drugs,train
תפ_39201-05-18,drugs,train
תפ_40305-08-13,drugs,test
תפ_10603-12-18,drugs,test
תפ_22609-10-16,drugs,train
תפ_29731-05-21,drugs,train
תפק_57763-10-17,drugs,train
תפ_1276-05-15,drugs,train
תפ_63025-03-15,drugs,train
תפ_26928-08-19,drugs,train
גמר_1463-10-23,drugs,train
תפח_31343-04-19,drugs,train
תפ_18163-03-15,drugs,test
תפ_21127-08-21,drugs,train
תפ_1516-10-16,drugs,test
תפ_16015-05-21,drugs,train
תפ_23613-02-22,drugs,train
תפ_3750-08-20,drugs,train
תפ_45199-01-22,drugs,test
תפ_63172-11-20,drugs,test
תפ_64418-09-16,drugs,train
תפ_46786-04-18,drugs,train
תפ_11592-05-19,drugs,test
תפ_22679-09-16,drugs,train
תפ_809-09-18,drugs,train
תפ_2200-02-18,drugs,train
תפ_50607-03-19,drugs,train
תפ_7629-11-17,drugs,train
תפ_20928-07-12,drugs,train
תפ_32356-04-22,drugs,test
תפ_18218-11-19,drugs,train
תפ_8887-10-21,drugs,train
תפ_6431-05-13,drugs,test
תפ_54696-06-17,drugs,train
תפ_51036-08-15,drugs,test
תפ_12241-08-20,drugs,train
תפ_63672-03-19,drugs,test
תפ_21137-11-23,drugs,train
תפ_25859-10-19,drugs,train
תפ_41783-12-17,drugs,train
תפ_29504-09-13,drugs,test
תפ_51899-07-21,drugs,test
תפ_19468-03-18,drugs,train
תפ_64232-11-22,drugs,train
תפ_54026-01-20,drugs,train
תפ_32243-08-21,drugs,test
תפ_4606-08-20,drugs,train
תפ_65573-01-18,drugs,test
תפ_67471-06-18,drugs,test
תפ_19985-04-14,drugs,train
תפ_23190-04-21,drugs,test
תפ_30580-02-21,drugs,train
תפ_18011-01-20,drugs,train
תפ_39019-05-15,drugs,train
תפ_16982-03-21,drugs,train
תפ_58591-08-18,drugs,train
תפ_64660-01-22,drugs,train
תפ_44694-10-18,drugs,train
תפ_27952-06-19,drugs,train
תפ_29019-03-10,drugs,train
תפ_34053-04-18,drugs,train
תפ_24350-06-23,drugs,train
תפ_13048-04-21,drugs,train
תפ_70627-11-17,drugs,train
תפ_2531-11-18,drugs,train
תפ_13336-05-15,drugs,train
תפ_60947-11-18,drugs,train
תפ_57253-05-19,drugs,test
תפ_13748-03-15,drugs,train
תפ_40055-03-18,drugs,train
תפ_42156-05-22,drugs,test
תפ_11608-07-16,drugs,train
תפ_41933-08-22,drugs,train
תפחע_7212-11-23,drugs,test
תפ_5687-03-23,drugs,train
תפ_37987-11-23,drugs,test
תפ_15744-02-20,drugs,test
תפ_76300-05-23,drugs,train
תפ_27475-05-21,drugs,train
תפ_2217-07-15,drugs,test
תפ_27103-01-18,drugs,train
תפ_12708-04-14,drugs,train
תפ_22211-06-15,drugs,train
תפ_9220-06-20,drugs,train
תפ_60454-06-16,drugs,train
תפ_65636-05-18,drugs,train
תפ_14474-03-20,drugs,train
תפ_39308-05-15,drugs,train
תפ_8444-04-23,drugs,train
תפ_39491-09-17,drugs,test
תפ_28811-02-18,drugs,train
תפ_7430-02-18,drugs,test
תפ_27683-01-21,drugs,test
תפ_70401-02-19,drugs,train
תפ_22402-11-18,drugs,train
תפ_25137-02-20,drugs,train
תפ_44336-03-19,drugs,train
תפ_68958-01-19,drugs,train
תפ_4435-07-19,drugs,train
תפ_20589-02-18,drugs,train
תפ_24079-11-19,drugs,train
תפ_59117-03-21,drugs,train
תפ_54673-05-17,drugs,train
תפ_38149-09-17,drugs,train
תפ_6681-09-21,drugs,train
תפ_76171-01-23,drugs,train
תפ_17707-04-14,drugs,test
תפ_22537-01-18,drugs,test
תפ_893-03-22,drugs,train
תפ_45644-11-22,drugs,test
תפ_16097-08-21,drugs,train
תפ_49510-11-23,drugs,train
תפ_6788-06-16,drugs,test
תפ_22140-04-18,drugs,train
תפ_55372-10-17,drugs,train
תפ_18510-10-14,drugs,train
תפ_39629-08-18,drugs,train
תפ_4621-02-23,drugs,test
תפ_16715-12-20,drugs,train
תפ_60484-03-22,drugs,train
תפ_24895-03-20,drugs,train
תפ_4460-04-18,drugs,train
תפ_56824-09-20,drugs,train
תפ_30506-01-22,drugs,train
תפ_28292-09-20,drugs,train
תפ_19412-05-18,drugs,train
תפ_30637-02-21,drugs,test
תפ_22804-10-19,drugs,test
תפ_61065-07-18,drugs,train
תפ_13598-05-23,drugs,train
תפ_28615-01-22,drugs,test
תפ_15709-10-19,drugs,train
תפ_50359-08-19,drugs,train
תפ_9369-01-13,drugs,train
תפ_30849-07-19,drugs,train
תפ_17153-07-18,drugs,test
תפ_18216-09-16,drugs,train
תפ_1338-12-20,drugs,train
תפ_14313-09-19,drugs,train
תפ_44604-11-22,drugs,train
תפ_11220-12-18,drugs,train
תפ_19005-11-20,drugs,train
תפ_58075-11-22,drugs,train
תפ_34635-11-22,drugs,train
תפ_20967-02-14,drugs,train
תפ_31892-08-21,drugs,train
תפ_1264-05-17,drugs,train
תפ_9109-02-16,drugs,train
תפ_38176-10-14,drugs,train
תפ_62070-05-20,drugs,train
תפ_49376-01-24,drugs,train
תפ_33842-02-14,drugs,test
תפ_62688-01-20,drugs,test
תפ_33338-02-20,drugs,train
תפ_53692-11-14,drugs,train
תפ_4886-11-18,drugs,test
תפ_63073-07-22,drugs,test
תפ_50860-02-20,drugs,train
תפ_63696-02-18,drugs,test
תפ_2791-06-18,drugs,train
תפ_31134-05-18,drugs,train
תפ_68051-09-16,drugs,train
תפ_26019-02-18,drugs,train
תפ_37176-11-17,drugs,train
תפ_38631-06-20,drugs,train
תפ_22433-05-18,drugs,train
תפ_25934-06-19,drugs,train
תפ_9457-04-23,drugs,train
תפ_9582-10-20,drugs,train
תפ_43175-10-12,drugs,train
תפ_13583-12-21,drugs,train
תפ_32581-06-20,drugs,train
תפ_72027-10-21,drugs,train
תפ_7342-04-19,drugs,train
תפ_42734-08-23,drugs,train
תפ_43884-01-23,drugs,train
תפ_12699-03-18,drugs,test
תפ_53090-10-19,drugs,train
תפ_34497-06-22,drugs,train
תפ_26620-12-16,drugs,train
תפ_34210-08-18,drugs,train
תפ_42790-07-18,drugs,train
תפ_34117-10-18,drugs,train
תפ_43240-06-17,drugs,train
תפ_16794-04-17,drugs,train
תפ_45136-02-13,drugs,train
תפ_1463-04-19,drugs,train
תפ_30039-04-20,drugs,train
תפ_65386-09-19,drugs,train
תפ_27542-11-14,drugs,train
תפ_36033-05-22,drugs,train
תפ_19464-05-21,drugs,train
תפ_52567-05-23,drugs,test
תפ_58944-08-21,drugs,train
תפ_46315-12-23,drugs,train
תפ_49932-08-21,drugs,test
תפ_46896-11-15,drugs,train
תפ_13774-03-21,drugs,train
תפ_73652-01-18,drugs,test
תפ_68942-01-19,drugs,train
תפ_16826-04-18,drugs,train
תפ_3818-01-24,drugs,test
תפ_42162-12-21,drugs,train
תפ_26828-05-16,drugs,train
תפ_48799-06-16,drugs,test
תפ_62318-07-17,drugs,train
תפ_53298-06-20,drugs,train
תפ_61181-02-19,drugs,train
תפ_20872-02-14,drugs,test
תפ_11789-12-16,drugs,train
תפ_35569-02-23,drugs,train
תפ_49055-02-18,drugs,train
תפ_74742-06-20,drugs,train
תפ_43665-08-21,drugs,train
תפ_25530-06-20,drugs,train
תפ_65828-06-20,drugs,train
תפ_23282-05-17,drugs,test
תפ_30003-03-22,drugs,test
תפ_18076-01-23,drugs,train
תפ_40649-08-16,drugs,train
תפ_12672-11-21,drugs,train
תפ_32175-07-22,drugs,train
תפ_32174-07-20,drugs,test
תפ_28953-06-18,drugs,test
תפ_8066-09-21,drugs,test
תפ_57912-07-14,drugs,train
תפ_26032-04-14,drugs,train
תפק_11489-02-23,drugs,train
תפ_1108-05-15,drugs,train
תפ_47879-06-13,drugs,train
תפ_60183-03-21,drugs,train
תפ_27373-07-20,drugs,train
תפ_54472-09-22,drugs,test
תפ_73261-01-23,drugs,train
תפ_9532-10-18,drugs,train
תפ_3526-04-21,drugs,train
תפ_60295-03-22,drugs,train
תפ_30618-02-18,drugs,test
תפ_49269-08-21,drugs,train
תפ_33200-05-20,drugs,train
תפ_36886-11-17,drugs,train
תפ_27506-03-21,drugs,train
תפ_48479-07-22,drugs,train
תפ_37495-01-20,drugs,train
תפ_42276-07-17,drugs,train
תפ_15392-04-17,drugs,train
תפ_15667-06-21,drugs,train
תפ_4719-02-23,drugs,train
תפ_70231-02-19,drugs,train
תפ_29159-08-22,drugs,train
תפ_30377-04-18,drugs,train
תפ_28234-05-21,drugs,train
תפ_37255-05-14,drugs,train
תפ_38616-11-22,drugs,train
תפ_57084-03-22,drugs,train
תפ_42225-09-17,drugs,train
תפ_67105-12-14,drugs,train
תפ_28954-08-20,drugs,test
תפ_39513-02-21,drugs,train
תפ_50988-12-15,drugs,train
תפ_40639-10-17,drugs,test
תפ_25835-05-18,drugs,train
תפ_47640-06-18,drugs,train
תפ_53219-03-14,drugs,train
תפ_17081-12-16,drugs,train
תפ_43084-09-20,drugs,train
תד_7172-07-20,drugs,train
תפ_8127-05-22,drugs,train
תפ_38680-05-20,drugs,train
תפ_7684-08-22,drugs,train
תפ_44477-08-20,drugs,train
תפ_37468-09-16,drugs,test
תפ_60476-05-13,drugs,train
תפ_9804-01-24,drugs,train
תפ_59165-12-19,drugs,train
תפ_52725-01-21,drugs,train
תפ_31812-10-22,drugs,train
תפ_30197-04-17,drugs,train
תפ_1387-01-22,drugs,train
תפ_48731-11-14,drugs,train
תפ_51943-05-20,drugs,train
תפ_20484-05-16,drugs,train
תפ_52781-10-18,drugs,train
תפ_32815-03-20,drugs,train
תפ_1175-08-21,drugs,test
תפ_70717-07-24,drugs,train
תפ_17780-09-16,drugs,train
תפ_63637-06-17,drugs,test
תפ_26685-05-13,drugs,train
תפ_41189-09-15,drugs,test
תפ_31827-10-19,drugs,test
תפ_56431-02-24,drugs,train
תפ_13927-04-13,drugs,test
תפ_70374-11-20,drugs,train
תפ_3503-09-20,drugs,train
תפ_16273-02-16,drugs,train
תפ_17948-09-17,drugs,test
תפ_54543-06-21,drugs,train
תפ_33848-05-14,drugs,train
תפ_45156-04-15,drugs,train
תפ_986-06-21,drugs,test
תפ_20825-08-14,drugs,test
תפ_54047-01-13,drugs,train
תפ_57459-06-20,drugs,test
תפ_1390-09-20,drugs,train
תפ_25332-01-18,drugs,train
תפ_17410-08-13,drugs,train
תפ_7086-04-23,drugs,train
תפ_10140-10-19,drugs,train
תפ_26896-07-16,drugs,train
תפ_53725-11-14,drugs,train
תפ_21322-10-19,drugs,train
תפ_19391-11-24,drugs,train
תפ_802-12-22,drugs,train
תפ_37551-01-16,drugs,train
תפ_40327-10-19,drugs,test
תפ_31842-04-21,drugs,train
תפ_26856-05-16,drugs,train
תפ_58524-11-19,drugs,train
תפ_61258-11-21,drugs,train
תפ_7833-06-21,drugs,train
תפ_1722-05-21,drugs,train
תפ_67646-05-24,drugs,train
תפ_10689-10-17,drugs,train
תפ_19932-03-17,drugs,train
תפ_48938-01-15,drugs,train
תפ_8900-11-22,drugs,train
תפ_41950-02-19,drugs,test
תפ_70274-07-20,drugs,train
תפ_36801-10-22,drugs,train
תפ_62893-04-21,drugs,train
תפ_53127-06-16,drugs,train
תפ_50754-02-20,drugs,test
תפ_60154-02-19,drugs,train
תפ_55035-10-18,drugs,train
תפ_30913-02-21,drugs,train
תפ_52165-12-17,drugs,train
תפ_17642-11-20,drugs,train
תפ_45480-02-19,drugs,train
תפ_50038-01-19,drugs,train
תפ_46735-02-20,drugs,train
תפ_55353-01-21,drugs,test
תפ_32956-11-20,drugs,test
תפ_72132-02-19,drugs,train
תפ_12158-04-23,drugs,train
תפ_35843-03-22,drugs,train
תפ_1969-02-17,drugs,train
תפ_59503-07-15,drugs,test
תפ_40331-03-18,drugs,test
תפ_35893-03-20,drugs,test
תפ_44181-01-17,drugs,train
תפ_67527-03-18,drugs,test
תפ_34771-07-20,drugs,train
תפ_26985-11-21,drugs,train
תפ_47941-06-15,drugs,train
תפ_51797-01-21,drugs,train
תפ_59009-05-21,drugs,train
תפ_35204-09-21,drugs,test
תפ_44427-10-18,drugs,train
תפ_58790-08-18,drugs,train
תפ_31103-09-17,drugs,train
תפ_5188-10-21,drugs,train
תפ_59804-01-17,drugs,train
תפ_12194-06-23,drugs,train
תפ_15251-11-19,drugs,train
תפ_28107-06-20,drugs,train
תפ_18285-08-16,drugs,test
תפ_62222-12-16,drugs,test
תפ_22297-11-20,drugs,test
תפ_38366-02-17,drugs,train
תפ_24771-06-21,drugs,train
תפ_57043-06-16,drugs,train
תפ_42796-02-24,drugs,train
תפ_55489-01-21,drugs,train
תפ_34752-02-21,drugs,train
תפ_31419-11-20,drugs,train
תפ_4261-09-22,drugs,train
תפ_38578-12-20,drugs,train
תפ_60606-10-20,drugs,train
תפ_46914-06-18,drugs,train
תפ_56285-05-24,drugs,train
תפ_42761-01-18,drugs,train
תפ_54732-03-18,drugs,train
תפ_27295-12-17,drugs,train
תפ_34960-10-19,drugs,train
תפ_46786-01-23,drugs,train
תפ_66041-01-18,drugs,train
תפ_8203-05-23,drugs,train
תפ_42779-07-18,drugs,train
תפ_44666-10-18,drugs,train
תפ_14611-12-21,drugs,test
תפ_33658-01-18,drugs,train
תפ_9460-10-19,drugs,train
תפ_34925-03-14,drugs,train
תפ_33252-04-17,drugs,train
תפ_25458-11-18,drugs,train
תפ_10086-06-18,drugs,train
תפ_43397-02-15,drugs,test
תפ_21557-06-16,drugs,train
תפ_6985-07-22,drugs,test
תפ_41830-12-21,drugs,test
תפ_15965-12-21,drugs,train
תפ_49845-08-20,drugs,train
תפ_59087-01-18,drugs,test
תפ_44027-05-15,drugs,train
תפ_64144-09-17,drugs,train
תפ_20841-09-15,drugs,train
תפ_48695-03-20,drugs,train
תפ_10393-03-21,drugs,test
תפ_18320-05-19,drugs,test
תפ_52504-10-20,drugs,test
תפ_21806-01-19,drugs,train
תפ_73906-12-20,drugs,train
תפ_26943-07-17,drugs,train
תפ_62573-05-18,drugs,train
תפ_66437-07-20,drugs,train
תפ_64711-01-19,drugs,train
תפ_29005-11-20,drugs,train
תפ_67911-11-22,drugs,train
תפ_4435-11-17,drugs,train
תפ_65068-11-22,drugs,train
תפ_60682-03-14,drugs,train
תפ_1057-05-15,drugs,test
תפ_40650-03-22,drugs,test
תפ_14578-04-19,drugs,train
תפ_61235-05-13,drugs,train
תפ_10853-08-16,drugs,train
תפ_1818-08-20,drugs,train
תפ_33508-01-15,drugs,train
תפ_17701-07-21,drugs,train
תפ_54826-08-16,drugs,train
תפ_61248-02-24,drugs,test
תפ_34255-01-24,drugs,train
תפ_44501-11-16,drugs,train
תפ_42806-07-18,drugs,train
תפ_1340-10-14,drugs,train
תפ_67234-06-20,drugs,test
תפ_50969-06-22,drugs,train
תפ_24296-05-20,drugs,train
תפ_13690-04-17,drugs,test
תפ_36827-11-15,drugs,train
תפ_65260-11-15,drugs,train
תפ_27512-06-23,drugs,train
תפ_14751-12-20,drugs,train
תפ_52589-10-20,drugs,train
תפ_33475-10-17,drugs,train
תפ_52902-01-21,drugs,test
תפ_26596-01-24,drugs,train
תפ_10283-03-16,drugs,test
תפ_32561-09-13,drugs,train
תפ_5391-02-20,drugs,train
תפ_48176-01-22,drugs,train
תפ_3593-09-21,drugs,test
תפ_44314-05-16,drugs,test
תפ_30433-04-11,drugs,test
תפ_58812-10-17,drugs,train
תפ_17667-07-19,drugs,test
תפ_74740-06-20,drugs,train
תפ_8988-11-22,drugs,train
תפ_14488-04-19,drugs,train
תפ_31647-04-18,drugs,train
תפ_3667-07-15,drugs,train
תפ_7486-05-18,drugs,train
תפ_42361-08-23,drugs,test
תפ_33439-01-21,drugs,train
תפ_34938-09-18,drugs,train
