domain,rep,model,QWK_CV30,Spearman,Kendall,Ordinal_AUC
drugs,Manual,gpt4,0.8703,0.7945,0.6698,0.9402
drugs,Manual,gpt5mini,0.839,0.7859,0.6543,0.9366
drugs,Manual,gpt52,0.8326,0.7893,0.6533,0.9395
drugs,Manual,gpt51_thinking,0.8003,0.8052,0.6739,0.9471
drugs,Manual,claude_sonnet_4_6,0.8944,0.8099,0.6807,0.9496
drugs,Manual,gemini_25_pro,0.8221,0.7765,0.6501,0.9294
drugs,Manual,gemini_3_flash,0.8533,0.7802,0.6392,0.9351
drugs,Manual,gemma3_27b,0.823,0.7932,0.6937,0.9344
drugs,Manual,gemma4_31b_or,0.828,0.8055,0.6853,0.9464
drugs,Manual,llama3_70b,0.8435,0.7932,0.6842,0.9361
drugs,Manual,qwen3_vl_235b_or,0.8399,0.7964,0.6776,0.9404
drugs,GPT-Schema,gpt4,0.7587,0.755,0.6251,0.9205
drugs,GPT-Schema,gpt5mini,0.7726,0.753,0.6144,0.9223
drugs,GPT-Schema,gpt52,0.7849,0.7718,0.6348,0.9298
drugs,GPT-Schema,gpt51_thinking,0.7273,0.7673,0.6304,0.9278
drugs,GPT-Schema,claude_sonnet_4_6,0.7919,0.8146,0.6893,0.9521
drugs,GPT-Schema,gemini_25_pro,0.8209,0.7698,0.6473,0.9256
drugs,GPT-Schema,gemini_3_flash,0.8135,0.7757,0.6401,0.9332
drugs,GPT-Schema,gemma3_27b,0.8181,0.8086,0.7156,0.9398
drugs,GPT-Schema,gemma4_31b_or,0.803,0.7891,0.6664,0.9382
drugs,GPT-Schema,llama3_70b,0.7595,0.7605,0.6491,0.9186
drugs,GPT-Schema,qwen3_vl_235b_or,0.7571,0.7651,0.6489,0.9214
drugs,GPT-Free,gpt4,0.7761,0.7226,0.6,0.9033
drugs,GPT-Free,gpt5mini,0.7292,0.7545,0.6287,0.9199
drugs,GPT-Free,gpt52,0.7344,0.7425,0.6258,0.9124
drugs,GPT-Free,gpt51_thinking,0.7495,0.7576,0.644,0.92
drugs,GPT-Free,claude_sonnet_4_6,0.7308,0.7454,0.6363,0.9132
drugs,GPT-Free,gemini_25_pro,0.7892,0.7065,0.601,0.8887
drugs,GPT-Free,gemini_3_flash,0.7807,0.7239,0.6047,0.903
drugs,GPT-Free,gemma3_27b,0.7194,0.7496,0.654,0.9115
drugs,GPT-Free,gemma4_31b_or,0.7751,0.7544,0.6528,0.9157
drugs,GPT-Free,llama3_70b,0.701,0.711,0.6065,0.8934
drugs,GPT-Free,qwen3_vl_235b_or,0.6925,0.7289,0.6207,0.904
drugs,GPT-Law,gpt4,0.7509,0.6939,0.5643,0.8892
drugs,GPT-Law,gpt5mini,0.7592,0.6778,0.5539,0.8807
drugs,GPT-Law,gpt52,0.7382,0.7076,0.5919,0.8949
drugs,GPT-Law,gpt51_thinking,0.782,0.7173,0.6011,0.8991
drugs,GPT-Law,claude_sonnet_4_6,0.7771,0.7403,0.6247,0.9111
drugs,GPT-Law,gemini_25_pro,0.7469,0.6722,0.5597,0.8725
drugs,GPT-Law,gemini_3_flash,0.7224,0.702,0.5841,0.8915
drugs,GPT-Law,gemma3_27b,0.7309,0.7346,0.642,0.9033
drugs,GPT-Law,gemma4_31b_or,0.8005,0.7184,0.6142,0.8971
drugs,GPT-Law,llama3_70b,0.5763,0.6787,0.5759,0.8749
drugs,GPT-Law,qwen3_vl_235b_or,0.7231,0.7245,0.6238,0.8991
drugs,Raw-Facts,gpt4,0.7507,0.7237,0.613,0.9012
drugs,Raw-Facts,gpt5mini,0.7548,0.7401,0.6109,0.9144
