model,representation,domain,task,status
gpt4,facts,drugs,binary_0,completed
gpt4,facts,drugs,binary_1,completed
gpt4,facts,weapon,binary_0,completed
gpt4,facts,weapon,binary_1,completed
gpt4,manual_fe,drugs,binary_0,completed
gpt4,manual_fe,drugs,binary_1,completed
gpt4,manual_fe,weapon,binary_0,completed
gpt4,manual_fe,weapon,binary_1,completed
gpt4,fe_manual_format,drugs,binary_0,missing
gpt4,fe_manual_format,drugs,binary_1,missing
gpt4,fe_manual_format,weapon,binary_0,missing
gpt4,fe_manual_format,weapon,binary_1,missing
gpt4,fe_legacy_from_structured,drugs,binary_0,missing
gpt4,fe_legacy_from_structured,drugs,binary_1,missing
gpt4,fe_legacy_from_structured,weapon,binary_0,missing
gpt4,fe_legacy_from_structured,weapon,binary_1,missing
gpt4,fe_gpt_schema,drugs,binary_0,missing
gpt4,fe_gpt_schema,drugs,binary_1,missing
gpt4,fe_gpt_schema,weapon,binary_0,missing
gpt4,fe_gpt_schema,weapon,binary_1,missing
gpt4,gpt_law,drugs,binary_0,completed
gpt4,gpt_law,drugs,binary_1,completed
gpt4,gpt_law,weapon,binary_0,completed
gpt4,gpt_law,weapon,binary_1,completed
gpt4,gpt_free,drugs,binary_0,completed
gpt4,gpt_free,drugs,binary_1,completed
gpt4,gpt_free,weapon,binary_0,completed
gpt4,gpt_free,weapon,binary_1,completed
gpt4,hybrid_manual_gpt,drugs,binary_0,completed
gpt4,hybrid_manual_gpt,drugs,binary_1,completed
gpt4,hybrid_manual_gpt,weapon,binary_0,completed
gpt4,hybrid_manual_gpt,weapon,binary_1,completed
gpt4,hybrid_gpt,drugs,binary_0,missing
gpt4,hybrid_gpt,drugs,binary_1,missing
gpt4,hybrid_gpt,weapon,binary_0,missing
gpt4,hybrid_gpt,weapon,binary_1,missing
gpt4,hybrid_full_gpt,drugs,binary_0,completed
gpt4,hybrid_full_gpt,drugs,binary_1,completed
gpt4,hybrid_full_gpt,weapon,binary_0,completed
gpt4,hybrid_full_gpt,weapon,binary_1,completed
gpt5mini,facts,drugs,binary_0,completed
gpt5mini,facts,drugs,binary_1,completed
gpt5mini,facts,weapon,binary_0,completed
gpt5mini,facts,weapon,binary_1,completed
gpt5mini,manual_fe,drugs,binary_0,completed
gpt5mini,manual_fe,drugs,binary_1,completed
gpt5mini,manual_fe,weapon,binary_0,completed
gpt5mini,manual_fe,weapon,binary_1,completed
gpt5mini,fe_manual_format,drugs,binary_0,missing
gpt5mini,fe_manual_format,drugs,binary_1,missing
gpt5mini,fe_manual_format,weapon,binary_0,missing
gpt5mini,fe_manual_format,weapon,binary_1,missing
gpt5mini,fe_legacy_from_structured,drugs,binary_0,missing
gpt5mini,fe_legacy_from_structured,drugs,binary_1,missing
