representation,system_prompt,user_template
facts,SYSTEM_PROMPT_V6_FACTS,USER_TEMPLATE_FACTS
manual_fe,SYSTEM_PROMPT_V6_SCORE_RAW,USER_TEMPLATE_SCORE_RAW
fe_manual_format,SYSTEM_PROMPT_V6_SCORE_RAW,USER_TEMPLATE_SCORE_RAW
fe_legacy_from_structured,SYSTEM_PROMPT_V6_SCORE_RAW,USER_TEMPLATE_SCORE_RAW
fe_gpt_schema,SYSTEM_PROMPT_V6_SCORE_RAW,USER_TEMPLATE_SCORE_RAW
gpt_law,SYSTEM_PROMPT_V6_SCORE_RAW,USER_TEMPLATE_SCORE_RAW
gpt_free,SYSTEM_PROMPT_V6_SCORE_RAW,USER_TEMPLATE_SCORE_RAW
hybrid_manual_gpt,SYSTEM_PROMPT_V6_SCORE_RAW,USER_TEMPLATE_SCORE_RAW
hybrid_gpt,SYSTEM_PROMPT_V6_SCORE_RAW,USER_TEMPLATE_SCORE_RAW
hybrid_full_gpt,SYSTEM_PROMPT_V6_SCORE_RAW,USER_TEMPLATE_SCORE_RAW
