domain,task,model,representation,f1,precision,recall,ap_pr,threshold,n_valid,n_failed,stats_file,preds_csv
drugs,binary_1,gemini_25_pro,fe_gpt_schema_v2,0.835,0.8269,0.8431,,25.1256,100,0,similarity_database_fe_gpt_schema_v2_v6score_gemini_25_pro_binary_1_stats.json,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_fe_gpt_schema_v2_v6score_gemini_25_pro_binary_0_preds.csv
drugs,binary_1,gemini_3_flash,fe_gpt_schema_v2,0.8411,0.8036,0.8824,,48.2412,100,0,similarity_database_fe_gpt_schema_v2_v6score_gemini_3_flash_binary_1_stats.json,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_fe_gpt_schema_v2_v6score_gemini_3_flash_binary_0_preds.csv
drugs,binary_1,gemma3_27b,fe_gpt_schema_v2,0.8462,0.8302,0.8627,,55.2764,100,0,similarity_database_fe_gpt_schema_v2_v6score_gemma3_27b_binary_1_stats.json,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_fe_gpt_schema_v2_v6score_gemma3_27b_binary_0_preds.csv
drugs,binary_1,gpt4,fe_gpt_schema_v2,0.8283,0.8542,0.8039,0.9058871448386552,45.2261,100,0,similarity_database_fe_gpt_schema_v2_v6score_gpt4_binary_1_stats.json,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_fe_gpt_schema_v2_v6score_gpt4_binary_0_preds.csv
drugs,binary_1,gpt51_thinking,fe_gpt_schema_v2,0.8364,0.7797,0.902,,57.2864,100,0,similarity_database_fe_gpt_schema_v2_v6score_gpt51_thinking_binary_1_stats.json,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_fe_gpt_schema_v2_v6score_gpt51_thinking_binary_0_preds.csv
drugs,binary_1,gpt52,fe_gpt_schema_v2,0.866,0.913,0.8235,,55.2764,100,0,similarity_database_fe_gpt_schema_v2_v6score_gpt52_binary_1_stats.json,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_fe_gpt_schema_v2_v6score_gpt52_binary_0_preds.csv
drugs,binary_1,gpt5mini,fe_gpt_schema_v2,0.8224,0.7857,0.8627,0.9172167467778775,58.2915,100,0,similarity_database_fe_gpt_schema_v2_v6score_gpt5mini_binary_1_stats.json,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_fe_gpt_schema_v2_v6score_gpt5mini_binary_0_preds.csv
drugs,binary_1,llama3_70b,fe_gpt_schema_v2,0.8148,0.7719,0.8627,0.8333333333333333,48.2412,100,0,similarity_database_fe_gpt_schema_v2_v6score_llama3_70b_binary_1_stats.json,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_fe_gpt_schema_v2_v6score_llama3_70b_binary_0_preds.csv
drugs,binary_1,mistral,fe_gpt_schema_v2,0.7965,0.7258,0.8824,0.8264344610929181,60.3015,100,0,similarity_database_fe_gpt_schema_v2_v6score_mistral_binary_1_stats.json,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_fe_gpt_schema_v2_v6score_mistral_binary_0_preds.csv
drugs,binary_1,qwen3_235b,fe_gpt_schema_v2,0.8148,0.7719,0.8627,0.8742646146035078,35.1759,100,0,similarity_database_fe_gpt_schema_v2_v6score_qwen3_235b_binary_1_stats.json,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_fe_gpt_schema_v2_v6score_qwen3_235b_binary_0_preds.csv
