verdict_1,verdict_2,similarity_scale,similarity_binary_0,similarity_binary_1,feature_vector_1,feature_vector_2
SH-16-04-30406-325,ME-16-02-59812-881,1,0,0,"{""מותג הרכב"": ""רנו"", ""מספר רישוי"": ""88-687-10"", ""מיקום הנשק ברכב"": ""תא מטען"", ""מספר כלי נשק"": 2, ""מספר עבירה"": ""144 א"", ""סוג עבירה"": ""החזקה נשק"", ""סוג הנשק [תת מקלע מאולתר]"": 1.0, ""סטטוס הנשק"": ""נשק מופרד מתחמושת"", ""תכנון"": ""לא"", ""אופן החזקת הנשק"": ""ברכב"", ""אופן קבלת הנשק"": ""רכש"", ""כמות תחמושת"": ""מחסנית ריקה ובה 0 כדורים, 2 מחסניות"", ""שימוש"": ""לא""}","{""מקום עבודה"": ""בית ספר יסודי"", ""תפקיד בעבודה"": ""מאבטחת"", ""סוג האקדח"": ""תארוס 9 מ\""מ"", ""תקופת העבירות"": ""יולי 2015 - פברואר 2016"", ""סוגי סמים"": ""חשיש, הרואין"", ""כמות סם הרואין"": ""ארבע חבילות"", ""מחיר מכירת הנשק"": ""8,000 ₪"", ""סכום כסף במזומן"": ""8,000 ₪"", ""שם הקונה"": ""מחמוד צאלוק"", ""סיבת מכירת הנשק"": ""צורך בכסף לרכישת סמים"", ""תיאור האירוע המזויף"": ""שוד בו נגנב האקדח"", ""תגובת מעבידה לאירוע השוד"": ""פנייה מיידית למשטרה"", ""תאריך הדיווח על השוד"": ""18.2.16"", ""מספר עבירה"": ""144 ב"", ""סוג עבירה"": ""סחר בנשק"", ""עבירות נוספות"": ""הנאשם הואשם והורשע בנוסף לעבירת נשק (סחר בנשק לפי סעיף 144(ב2)), גם בעבירות מסירת ידיעה כוזבת על עבירת פשע (סעיף 243 לחוק העונשין) ושיבוש הליכי משפט (סעיף 244 לחוק העונשין). אלו אינן עבירות נשק."", ""סוג הנשק [אקדח]"": 1.0, ""סטטוס הנשק"": ""נשק מופרד מתחמושת"", ""תכנון"": ""לא"", ""אופן החזקת הנשק"": ""בבית"", ""כמות תחמושת"": ""2 מחסניות, 20 כדורים"", ""מטרה-סיבת העבירה"": ""בצע כסף"", ""שימוש"": ""לא""}"
ME-16-05-25902-514,ME-16-11-56385-886,3,1,1,"{""מקום רכישת הנשק"": ""קלנסוואה"", ""מקום החזקת הנשק"": ""מקלט בבית"", ""תאריך גניבת הנשק"": ""31.12.13"", ""מספר סידורי של הנשק"": ""682663"", ""סוג הנשק"": ""ברטה"", ""תאריך תחילת החזקת הנשק"": ""פברואר 2016"", ""תאריך נשיאת הנשק"": ""8.5.16"", ""שעת נשיאת הנשק"": ""06:00"", ""מספר עבירה"": ""144 א, 144 ב"", ""סוג עבירה"": ""החזקה נשק, נשיאת נשק"", ""סוג הנשק [אקדח]"": 1.0, ""סטטוס הנשק"": ""נשק עם מחסנית בהכנס"", ""תכנון"": ""לא"", ""אופן החזקת הנשק"": ""בבית, על גופו"", ""אופן קבלת הנשק"": ""רכש"", ""כמות תחמושת"": ""מחסנית ובה 7 כדורים"", ""מטרה-סיבת העבירה"": ""הגנה עצמית"", ""שימוש"": ""לא""}","{""תאריך גניבת הנשק"": ""14.10.07"", ""תאריך החזקת הנשק"": ""18.11.16"", ""דגם הנשק"": ""יריחו"", ""מצב הנשק"": ""דרוך, טעון ומוכן לירי"", ""מספר עבירה"": ""144 א"", ""סוג עבירה"": ""החזקה נשק"", ""סוג הנשק [אקדח]"": 1.0, ""סטטוס הנשק"": ""נשק עם כדור בקנה"", ""תכנון"": ""לא"", ""אופן החזקת הנשק"": ""על גופו"", ""שימוש"": ""לא""}"
ME-18-06-36728-73,ME-16-09-398-589,3,1,1,"{""מיקום האירוע"": ""כפר קרע"", ""תאריך האירוע"": ""24.5.18"", ""שעת האירוע"": ""בסמוך לשעה 14:00"", ""זירת האירוע"": ""פנצ'רייה של משפחת עסלי"", ""סוג הרכב של המתלונן"": ""רכב פרטי"", ""מספר פגיעות"": ""פגיעה אחת"", ""מיקום הפגיעה בגוף"": ""ירך רגל ימין"", ""תוצאת הפגיעה"": ""פצע ירי"", ""משך אשפוז המתלונן"": ""עד ליום 31.5.18"", ""סוג המחלוקת"": ""ויכוח בכביש"", ""מספר עבירה"": ""144 ב"", ""סוג עבירה"": ""נשיאת נשק"", ""עבירות נוספות"": ""הנאשם הורשע בנוסף לעבירת נשק (סעיף 144(ב)), גם בעבירת פציעה לפי סעיף 334 לחוק העונשין. עבירה זו אינה עבירת נשק ומהווה עבירה נוספת."", ""סוג הנשק [אקדח]"": 1.0, ""סטטוס הנשק"": ""נשק עם כדור בקנה"", ""תכנון"": ""לא"", ""אופן החזקת הנשק"": ""על גופו, מוסלק - מוסתר"", ""מטרה-סיבת העבירה"": ""סגירת חשבון"", ""שימוש"": ""לא""}","{""מיקום האירוע"": ""גינה ציבורית בבת-ים"", ""תאריך האירוע"": ""לילה שבין 10.8.16 ל-11.8.16"", ""מרחק ירי"": ""10 מטר"", ""פצעים"": ""פצעי כניסה ויציאה בשוק הימנית"", ""טיפול רפואי"": ""טופל בבית חולים"", ""מספר נפגעים"": 1, ""זהות הנפגע"": ""וויליאם קניסופה"", ""הפתעה"": ""כן"", ""מספר תוקפים"": 2, ""זהות תוקף נוסף"": ""לא ידועה"", ""מספר עבירה"": ""144 ב"", ""סוג עבירה"": ""נשיאת נשק"", ""עבירות נוספות"": ""הנאשם הורשע בנוסף לעבירת נשק (נשיאת נשק שלא כדין לפי סעיף 144(ב)), גם בעבירה של חבלה חמורה בנסיבות מחמירות לפי סעיפים 333 + 335(א)(2+1) לחוק העונשין. זוהי עבירת אלימות חמורה שאינה עבירת נשק."", ""סוג הנשק [אקדח]"": 1.0, ""סטטוס הנשק"": ""נשק עם כדור בקנה"", ""תכנון"": ""כן"", ""אופן החזקת הנשק"": ""על גופו"", ""שימוש"": ""לא""}"
SH-17-10-10556-234,ME-16-11-13999-863,1,0,0,"{""קוטר הקליעים"": ""8 מ\""מ"", ""מיקום החזקת הנשק"": ""בחצר הסמוכה לבית, מתחת למזרון בערימת זבל"", ""מרחק החזקת הנשק מהבית"": ""100 מטרים"", ""בעלות הנשק"": ""בבעלות אחר"", ""מספר עבירה"": ""144 א"", ""סוג עבירה"": ""החזקה נשק"", ""סוג הנשק [אקדח]"": 1.0, ""סטטוס הנשק"": ""נשק עם מחסנית בהכנס"", ""תכנון"": ""לא"", ""אופן החזקת הנשק"": ""מוסלק - מוסתר"", ""כמות תחמושת"": ""מחסנית ובה 10 כדורים, מחסנית ריקה ובה 0 כדורים"", ""שימוש"": ""לא""}","{""סוג הרכב"": ""מאזדה"", ""שם הנהג"": ""זבידאת סלאמה"", ""מיקום האירוע"": ""סמוך לישוב ראמה"", ""זמן האירוע"": ""26.10.16 בשעה 20:00"", ""סוג האקדח"": ""STAR"", ""קליבר האקדח"": ""9 מ\""מ פאראבלום"", ""מיקום התקרית"": ""תחנת דלק סמוכה למחסום משטרתי"", ""פעולת הנאשם במעצר"": ""נסיעה לתוך תחנת דלק וניסיון להמשיך בנסיעה"", ""מספר עבירה"": ""144 א, 144 ב"", ""סוג עבירה"": ""החזקה נשק, נשיאת נשק, הובלת נשק"", ""סוג הנשק [אקדח]"": 1.0, ""סטטוס הנשק"": ""נשק עם מחסנית בהכנס"", ""תכנון"": ""לא"", ""אופן החזקת הנשק"": ""ברכב, על גופו"", ""כמות תחמושת"": ""מחסנית ובה כדורים, מחסנית נוספת ובה כדורים"", ""שימוש"": ""לא""}"
SH-17-10-10556-234,m08000207-175,1,0,0,"{""קוטר הקליעים"": ""8 מ\""מ"", ""מיקום החזקת הנשק"": ""בחצר הסמוכה לבית, מתחת למזרון בערימת זבל"", ""מרחק החזקת הנשק מהבית"": ""100 מטרים"", ""בעלות הנשק"": ""בבעלות אחר"", ""מספר עבירה"": ""144 א"", ""סוג עבירה"": ""החזקה נשק"", ""סוג הנשק [אקדח]"": 1.0, ""סטטוס הנשק"": ""נשק עם מחסנית בהכנס"", ""תכנון"": ""לא"", ""אופן החזקת הנשק"": ""מוסלק - מוסתר"", ""כמות תחמושת"": ""מחסנית ובה 10 כדורים, מחסנית ריקה ובה 0 כדורים"", ""שימוש"": ""לא""}","{""זמן האירוע"": ""12.7.08 בשעה 00:55"", ""מיקום האירוע"": ""סמוך לצומת הערבה"", ""סוג הנשק [קוטר]"": ""0.9 מ\""מ"", ""משקל החשיש"": ""1.36 גרם נטו"", ""מספר עבירה"": ""144 ב"", ""סוג עבירה"": ""נשיאת נשק"", ""עבירות נוספות"": ""הנאשם הורשע בנוסף לעבירות נשק (סעיף 144(ב) לחוק העונשין) גם בשתי עבירות של החזקת סם לצריכה עצמית בלבד, לפי סעיף 7(א)+(ג) סיפא לפקודת הסמים המסוכנים."", ""סוג הנשק [אקדח]"": 1.0, ""סטטוס הנשק"": ""נשק עם מחסנית בהכנס"", ""תכנון"": ""לא"", ""אופן החזקת הנשק"": ""ברכב"", ""כמות תחמושת"": ""מחסנית ובה 15 כדורים, מחסנית ובה 10 כדורים"", ""שימוש"": ""לא""}"
SH-18-06-11098-353,ME-16-03-54615-517,1,0,0,"{""סוג רובה"": ""גליל"", ""מספר סידורי נשק"": ""נמחק"", ""תאריך תפיסה"": ""23/05/18"", ""סוג תחמושת"": ""מחסניות ותחמושת"", ""מספר עבירה"": ""144 א"", ""סוג עבירה"": ""החזקה נשק"", ""סוג הנשק [רובה סער]"": 1.0, ""סטטוס הנשק"": ""נשק מופרד מתחמושת"", ""תכנון"": ""לא"", ""אופן החזקת הנשק"": ""בבית, מוסלק - מוסתר"", ""שימוש"": ""לא""}","{""מיקום המפגשים"": ""סמוך לביתו של מחמד"", ""מספר תתי מקלע שהועברו"": 2, ""סכום התשלום"": ""3000 ₪"", ""תקלות בנשק"": ""שני תתי מקלע לא ירו"", ""משך הזמן להשגת הנשק"": ""שלושה ימים"", ""משך הזמן להחלפת הנשק"": ""כשבוע"", ""מספר עבירה"": ""144 ב"", ""סוג עבירה"": ""סחר בנשק"", ""סוג הנשק [תת מקלע]"": 1.0, ""סטטוס הנשק"": ""תקול"", ""תכנון"": ""כן"", ""מטרה-סיבת העבירה"": ""בצע כסף"", ""שימוש"": ""לא""}"
ME-17-05-633-549,ME-19-04-1316-977,3,1,1,"{""סוג הנשק [אקדח חצי אוטומטי]"": 1.0, ""סוג הנשק [אקדח חלוואני]"": 1.0, ""מחיר רכישה תת מקלע"": ""7,000 ₪"", ""מחיר מכירה אקדח חלוואני"": ""14,000 ₪"", ""שותפים לעבירה"": ""נצרי ח'ליפה"", ""מיקום עבירה"": ""בית רביע חוסיין"", ""שנת עבירה"": ""2013, 2015"", ""סוג תחמושת"": ""כדור או קלע"", ""פונקציונליות הנשק"": ""מנגנון הדק חסר, מנגנון הדק מאולתר"", ""מספר עבירה"": ""144 א, 144 ב"", ""סוג עבירה"": ""החזקה נשק, סחר בנשק"", ""סוג הנשק [אקדח]"": 1.0, ""סוג הנשק [תת מקלע מאולתר]"": 1.0, ""סטטוס הנשק"": ""נשק מופרד מתחמושת"", ""תכנון"": ""כן"", ""אופן החזקת הנשק"": ""מוסלק - מוסתר"", ""אופן קבלת הנשק"": ""רכש"", ""כמות תחמושת"": ""2 מחסניות, מאות כדורים, 2 מחסניות ריקה ובהן 0 כדורים"", ""מטרה-סיבת העבירה"": ""בצע כסף"", ""שימוש"": ""לא""}","{""מיקום העסקה"": ""א-ראם"", ""סוג התחמושת"": ""כדורי M16, כדורי 5.56 מ\""מ"", ""כמות כדורים נוספת"": ""1,100 כדורים"", ""מחיר העסקה"": ""17,000 ₪, 19,000 ₪"", ""תאריכים רלוונטיים"": ""10.2.2019, 14.2.2019, 17.2.2019, 18.2.2019, 26.2.2019, 3.3.2019, 13.3.2019, 17.3.2019, 18.3.2019"", ""זהות הסוכן"": ""לוחם מספר 188, עלי"", ""תפקיד הסוכן"": ""שוטר, סוכן מטעם משטרת ישראל"", ""סוג הנשק המוצע למכירה"": ""קרלו"", ""מצב הנשק"": ""מקולקל"", ""התקשרות עם צד שלישי"": ""האחר"", ""מידע על צד שלישי"": ""האחר מתעכב, הנשק מקולקל"", ""הבטחת נשק נוסף"": ""הבטחה להשיג אקדח בעתיד"", ""תקופה עתידית להשגת נשק"": ""עד לחודש הרמדאן"", ""מספר עבירה"": ""144 ב"", ""סוג עבירה"": ""סחר בנשק, ניסיון לסחר בנשק"", ""סוג הנשק [אקדח]"": 1.0, ""סוג הנשק [תת מקלע מאולתר]"": 1.0, ""סטטוס הנשק"": ""תקול"", ""תכנון"": ""לא"", ""אופן החזקת הנשק"": ""ברכב"", ""כמות תחמושת"": ""מחסנית, 900 כדורים"", ""מטרה-סיבת העבירה"": ""בצע כסף"", ""שימוש"": ""לא""}"
ME-16-04-12480-812,ME-13-10-28139-807,3,1,1,"{""מיקום האירועים"": ""טירת הכרמל, בית המתלונן, אתר בניה"", ""סוג הרכב"": ""רכב פרטי"", ""סוג הנשק באירוע הראשון"": ""נשק חם"", ""כמות הקליעים באירוע השני"": ""12 קליעים"", ""מיקום התחמושת באירוע השלישי"": ""בזחל של כלי עבודה, מתחת לתקרה אקוסטית"", ""סכום החוב"": ""300 שקלים"", ""זמן המעשה מהוויכוח"": ""פחות משעה וחצי"", ""זמן המעשה מהאירוע הקודם"": ""יומיים, יום אחד"", ""מספר עבירה"": ""144 א, 144 ב"", ""סוג עבירה"": ""החזקה נשק, נשיאת נשק, הובלת נשק"", ""עבירות נוספות"": ""הנאשם הורשע בנוסף לעבירות נשק (סעיף 144) גם בעבירות של ניסיון חבלה חמורה בנסיבות מחמירות (סעיפים 25 + 335 + 333 לחוק העונשין) ואיומים (סעיף 192 לחוק העונשין)."", ""סוג הנשק [תת מקלע מאולתר]"": 1.0, ""סוג הנשק - אם לא נמצא בטבלה"": ""נשק"", ""סטטוס הנשק"": ""נשק עם כדור בקנה"", ""תכנון"": ""כן"", ""אופן החזקת הנשק"": ""ברכב, על גופו, מוסלק - מוסתר"", ""כמות תחמושת"": ""17 כדורים"", ""שימוש"": ""לא""}","{""מיקום האירוע"": ""רהט"", ""קורבן"": ""מתלונן ובנו קטין"", ""גיל הקורבן"": ""18"", ""סוג הרכב"": ""רכב פרטי"", ""מיקום פגיעת הירי"": ""דלת הנהג"", ""מספר יריות"": ""מספר יריות"", ""פגיעה ברכב"": ""כן"", ""נזק לרכב"": ""קליעים חדרו לדלת הנהג"", ""התנהלות הנאשם לאחר הירי"": ""נמלט מהמקום"", ""סוג המחלוקת"": ""שימוש בספסל בטון"", ""פעולה שקדמה לאירוע"": ""מריחת שמן על הספסל"", ""מספר עבירה"": ""144 א"", ""סוג עבירה"": ""החזקה נשק"", ""עבירות נוספות"": ""הנאשם הורשע, בנוסף לעבירות נשק לפי סעיף 144(א), גם בעבירת ניסיון לחבלה חמורה בנסיבות מחמירות לפי סעיפים 333+335(א)(1) ו-25 לחוק העונשין. מדובר בעבירת אלימות חמורה שאינה עבירת נשק."", ""סוג הנשק [אקדח]"": 1.0, ""סטטוס הנשק"": ""נשק עם כדור בקנה"", ""תכנון"": ""כן"", ""אופן החזקת הנשק"": ""על גופו"", ""מטרה-סיבת העבירה"": ""פגיעה בכבוד"", ""שימוש"": ""לא""}"
ME-17-05-633-549,ME-09-05-16192-355,1,0,0,"{""סוג הנשק [אקדח חצי אוטומטי]"": 1.0, ""סוג הנשק [אקדח חלוואני]"": 1.0, ""מחיר רכישה תת מקלע"": ""7,000 ₪"", ""מחיר מכירה אקדח חלוואני"": ""14,000 ₪"", ""שותפים לעבירה"": ""נצרי ח'ליפה"", ""מיקום עבירה"": ""בית רביע חוסיין"", ""שנת עבירה"": ""2013, 2015"", ""סוג תחמושת"": ""כדור או קלע"", ""פונקציונליות הנשק"": ""מנגנון הדק חסר, מנגנון הדק מאולתר"", ""מספר עבירה"": ""144 א, 144 ב"", ""סוג עבירה"": ""החזקה נשק, סחר בנשק"", ""סוג הנשק [אקדח]"": 1.0, ""סוג הנשק [תת מקלע מאולתר]"": 1.0, ""סטטוס הנשק"": ""נשק מופרד מתחמושת"", ""תכנון"": ""כן"", ""אופן החזקת הנשק"": ""מוסלק - מוסתר"", ""אופן קבלת הנשק"": ""רכש"", ""כמות תחמושת"": ""2 מחסניות, מאות כדורים, 2 מחסניות ריקה ובהן 0 כדורים"", ""מטרה-סיבת העבירה"": ""בצע כסף"", ""שימוש"": ""לא""}","{""זמן האירוע"": ""19.5.09, 23:30"", ""מיקום האירוע"": ""אום אל פחם"", ""סוג הרכב"": ""טויוטה"", ""בעלות הרכב"": ""בן משפחת הנאשם, אחמד מחאג'נה"", ""פעולת המילוט"": ""ניסיון להימלט מהשוטרים על ידי נסיעה לאחור"", ""תגובת השוטרים"": ""רדיפה אחר הרכב ודימום הרכב"", ""סוג התחמושת"": ""כדורי 9 מ\""מ"", ""מספר עבירה"": ""144 ב"", ""סוג עבירה"": ""נשיאת נשק, הובלת נשק"", ""סוג הנשק [תת מקלע]"": 1.0, ""סטטוס הנשק"": ""נשק עם מחסנית בהכנס"", ""תכנון"": ""לא"", ""אופן החזקת הנשק"": ""ברכב"", ""כמות תחמושת"": ""מחסנית ובה 10 כדורים"", ""שימוש"": ""לא""}"
ME-16-05-336-804,ME-15-12-39071-113,1,0,0,"{""זמן האירוע"": ""שעת ערב"", ""מיקום האירוע"": ""טקס חינה"", ""תאריך האירוע"": ""24/04/16"", ""סוג הנשק המדויק"": ""תת מקלע מאולתר מסוג קרל גוסטב"", ""פעולה במהלך האירוע"": ""פריקת נשק"", ""התנהלות במהלך נסיעה"": ""הימלטות מהמשטרה"", ""מספר כביש"": ""24"", ""מעורבות צד שלישי"": ""רדואן סמארה"", ""מספר עבירה"": ""144 ב"", ""סוג עבירה"": ""נשיאת נשק, הובלת נשק"", ""סוג הנשק [תת מקלע מאולתר]"": 1.0, ""סטטוס הנשק"": ""נשק מופרד מתחמושת"", ""תכנון"": ""לא"", ""אופן החזקת הנשק"": ""ברכב, על גופו"", ""כמות תחמושת"": ""2 מחסניות ריקות ובהן 0 כדורים, 26 כדורים"", ""שימוש"": ""לא""}","{""מותג הרכב"": ""מזדה 3"", ""מספר רישוי"": ""71-098-16"", ""מיקום האירוע"": ""כביש מספר 1, בסמוך למחלף הראל"", ""זמן האירוע"": ""22:30"", ""תאריך האירוע"": ""12.10.13"", ""מיקום הנשק ברכב"": ""מתחת לשטיח שמתחת למושב הסמוך לנהג"", ""סוג הנשק"": ""אקדח חצי אוטומטי מסוג סטאר"", ""מספר עבירה"": ""144 א"", ""סוג עבירה"": ""החזקה נשק"", ""סוג הנשק [אקדח]"": 1.0, ""סטטוס הנשק"": ""תקין"", ""תכנון"": ""לא"", ""אופן החזקת הנשק"": ""ברכב, מוסלק - מוסתר"", ""מטרה-סיבת העבירה"": ""הגנה עצמית"", ""שימוש"": ""לא""}"
