verdict_1,verdict_2,similarity_scale,similarity_binary_0,similarity_binary_1,feature_vector_1,feature_vector_2
SH-16-04-30406-325,ME-16-02-59812-881,1,0,0,"{""האם_המחסניות_טעונות"": ""לא צוין, אחת ריקה"", ""מיקום_נשק_1"": ""בתחתית תא המטען, צמודה מחסנית ריקה"", ""מיקום_נשק_2"": ""בתוך תיק שחור, ביחד עם שתי מחסניות"", ""מספר_מחסניות"": ""שלוש"", ""מספר_עבירות"": ""2"", ""מספר_רכב"": ""88-687-10"", ""מקום_החזקת_הנשק"": ""תא המטען של רכב"", ""סוג_העבירה"": ""החזקת נשק שלא כדין"", ""סוג_הרכב"": ""רנו"", ""סוגי_נשק"": ""שני תתי מקלע מאולתרים"", ""סעיף_חוק"": ""סעיף 144(א) רישא לחוק העונשין, תשל\""ז-1977"", ""תאריך_ביצוע"": ""06/04/16""}","{""אופן מסירת הידיעה הכוזבת"": ""דיווח למעביד על שוד, מסירת הודעה שקרית במשטרה"", ""מטרת הסחר בנשק"": ""השגת כסף ורכישת סמים לצריכה עצמית"", ""מניע למסירת ידיעה כוזבת"": ""התחמקות מעונש"", ""מעמד הנאשמת בעת ביצוע העבירות"": ""מאבטחת בבית ספר יסודי"", ""מקום ביצוע העבירות"": ""בית ספר יסודי וסביבתו, סמוך למקום מגוריו של מחמוד"", ""נשק מעורב"": ""אקדח 9 מ\""מ מסוג תארוס, שתי מחסניות, 20 כדורים"", ""סוג הסם"": [""חשיש"", ""הרואין""], ""סוגי עבירות"": [""סחר בנשק"", ""מסירת ידיעה כוזבת על עבירת פשע"", ""שיבוש הליכי משפט""], ""קשר בין הנאשמת לצדדים נוספים"": ""רכשה סמים ממחמוד צאלוק, מכרה לו את האקדח"", ""שיבוש הליכי משפט"": ""בדתה סיפור שוד, מסרה הודעות כוזבות למשטרה, טענה כי האקדח אבד לה"", ""תמורה עבור הנשק"": ""8,000 ש\""ח במזומן וארבע חבילות הרואין"", ""תקופת ביצוע העבירות"": ""אוגוסט 2014 עד פברואר 2016""}"
ME-16-05-25902-514,ME-16-11-56385-886,3,1,1,"{""אופן_נשיאת_הנשק"": ""על גופו מתחת לבגדיו"", ""כמות_תחמושת"": ""7 כדורים במחסנית"", ""מועד_רכישת_הנשק"": ""פברואר 2016"", ""מטרה_לנשיאת_הנשק"": ""נשיאה לעבודה בשעות בוקר מוקדמות"", ""מספר_סידורי_של_הנשק"": ""682663"", ""מקום_החזקת_הנשק"": ""מקלט ביתו של הנאשם בקלנסוואה"", ""מקור_הנשק"": ""נגנב מביתו של דינו תמאם"", ""נשיאת_הנשק_ביום_מעצר"": ""8.5.16"", ""סוג_הנשק"": ""אקדח ברטה"", ""סוג_העבירה"": ""נשיאת נשק והחזקת נשק"", ""סעיפי_חוק"": [""144(ב) רישא וסיפא לחוק העונשין"", ""144(א) רישא וסיפא לחוק העונשין""], ""שימוש_בנשק"": ""לא צוין שימוש בפועל"", ""שעת_נשיאת_הנשק_ביום_מעצר"": ""06:00"", ""תקופת_החזקה"": ""פברואר 2016 עד 8.5.16""}","{""דגם_הנשק"": ""יריחו"", ""מועד_גניבת_הנשק"": ""14.10.07"", ""מועד_החזקה"": ""18.11.16"", ""מצב_הנשק"": ""דרוך, טעון ומוכן לירי"", ""מקום_החזקה"": ""בכיס מעילו של הנאשם"", ""סוג_הנשק"": ""אקדח"", ""סוג_העבירה"": ""החזקת נשק שלא כדין"", ""סטטוס_הנשק"": ""גנוב"", ""סעיף_חוק"": ""סעיף 144(א) רישא לחוק העונשין תשל\""ז-1977""}"
ME-18-06-36728-73,ME-16-09-398-589,3,1,1,"{""אופן הסתרת הנשק"": ""הוסתר תחת חולצת הנאשם"", ""איום מילולי"": ""הנאשם אמר למתלונן אמירות מאיימות"", ""האם הייתה תכנון מוקדם"": ""הנאשם הגיע למקום במטרה לאתר את המתלונן לאחר הקטטה"", ""זהות הקורבן"": ""עובד בפנצ'רייה, המתלונן"", ""מיקום הפציעה"": ""ירך ימין של המתלונן"", ""מניע"": ""תגובה לאירוע אלימות קודם בין המתלונן לאחרים"", ""מספר יריות"": ""כדור אחד"", ""מספר מעורבים"": ""הנאשם ואחרים שזהותם אינה ידועה"", ""מקום האירוע"": ""כפר קרע, פנצ'רייה של משפחת עסלי"", ""מרחק מהקורבן בעת הירי"": ""מרחק קצר מאוד"", ""נשק בשימוש"": ""אקדח"", ""סוג העבירה"": ""פציעה ונשיאת נשק"", ""סעיפי אישום"": [""סעיף 334 לחוק העונשין"", ""סעיפים 144(ב) רישא וסיפא לחוק העונשין""], ""רקע לאירוע"": ""ויכוח בכביש וקטטה שהתפתחה בין המתלונן לאחרים"", ""שעת האירוע"": ""בסביבות 14:00"", ""תאריך האירוע"": ""24.5.18"", ""תוצאה רפואית"": ""פצע ירי בירך ואשפוז עד 31.5.18""}","{""אופי_המעשה"": ""הפתעה ותקיפה חמושה"", ""זהות_השותפים"": ""אחר שזהותו אינה ידועה למאשימה"", ""חומרת_הפציעה"": ""חבלה חמורה עם פצעי כניסה ויציאה"", ""טיפול_רפואי"": ""המתלונן טופל בבית חולים"", ""מועד_האירוע"": ""בלילה שבין 10.8.16 ל-11.8.16"", ""מספר_מעורבים"": ""הנאשם, אחר שזהותו אינה ידועה, שלושה בני חבורה (כולל המתלונן)"", ""מערכת_יחסים_בין_הצדדים"": ""סכסוך בין הנאשם לבין בני חבורה שכללה את המתלונן"", ""מקום_האירוע"": ""גינה ציבורית סמוכה לרחוב אנה פרנק ולרחוב ניסים בכר, בת-ים"", ""מרחק_הירי"": ""כ-10 מטר"", ""סוג_העבירה"": ""חבלה חמורה בנסיבות מחמירות ונשיאת נשק שלא כדין"", ""סעיפי_חוק"": ""סעיף 333 + 335(א)(2+1) לחוק העונשין, סעיף 144(ב) רישא לחוק העונשין"", ""פגיעה_בגוף"": ""פציעה בשוק רגל ימין של המתלונן"", ""שימוש_בנשק"": ""כן, ירי באקדח""}"
SH-17-10-10556-234,ME-16-11-13999-863,1,0,0,"{""בעלות_הנשק"": ""הנשק היה בבעלותו של אחר"", ""האם_הייתה_מחסנית_נוספת"": ""כן, מחסנית לא טעונה"", ""האם_הנשק_היה_טעון"": ""כן, באקדח הייתה מחסנית ובה 10 קליעים"", ""מיקום_הנשק"": ""בתוך שקית בחצר הסמוכה לביתו ובתוך כפפה מתחת למזרון בערימת זבל במרחק של כ-100 מטרים מביתו"", ""מספר_קליעים"": ""10"", ""סוג_הנשק"": ""אקדח"", ""סוג_העבירה"": ""החזקת נשק והחזקת אביזר נשק לתחמושת"", ""סעיפי_חוק"": ""סעיף 144(א) רישא וסעיף 144(א) סיפא לחוק העונשין תשל\""ז – 1977"", ""קוטר_קליעים"": ""8 מ\""מ"", ""תקופת_ההחזקה"": ""עובר ליום 28/08/2017""}","{""האם_החזקה_היתה_בצוותא"": ""כן"", ""האם_החזקה_היתה_ברכב"": ""כן"", ""האם_היתה_בריחה_או_התחמקות_משוטרים"": ""כן"", ""האם_היתה_רישיון_להחזקת_נשק"": ""לא"", ""יעד_הנסיעה"": ""אזור הישוב ראמה"", ""מיקום_המעצר"": ""תחנת דלק סמוכה לצומת ראמה"", ""מיקום_התחלתי"": ""סכנין"", ""מספר_מחסניות"": ""2"", ""מספר_מעורבים"": ""2"", ""סוג_הנשק"": ""אקדח חצי אוטומטי מסוג STAR קליבר 9 מ\""מ פאראבלום"", ""סוג_העבירה"": ""עבירות בנשק"", ""סוג_הרכב"": ""מאזדה"", ""סוג_תחמושת"": ""מחסניות עם כדורים לאקדח"", ""סעיפי_חוק"": [""144(א) רישא"", ""144(א) סיפא"", ""144(ב) רישא"", ""144(ב) סיפא לחוק העונשין""], ""שם_המעורב_הנוסף"": ""זבידאת סלאמה"", ""שעת_העבירה"": ""סמוך לשעה 20:00""}"
SH-17-10-10556-234,m08000207-175,1,0,0,"{""בעלות_הנשק"": ""הנשק היה בבעלותו של אחר"", ""האם_הייתה_מחסנית_נוספת"": ""כן, מחסנית לא טעונה"", ""האם_הנשק_היה_טעון"": ""כן, באקדח הייתה מחסנית ובה 10 קליעים"", ""מיקום_הנשק"": ""בתוך שקית בחצר הסמוכה לביתו ובתוך כפפה מתחת למזרון בערימת זבל במרחק של כ-100 מטרים מביתו"", ""מספר_קליעים"": ""10"", ""סוג_הנשק"": ""אקדח"", ""סוג_העבירה"": ""החזקת נשק והחזקת אביזר נשק לתחמושת"", ""סעיפי_חוק"": ""סעיף 144(א) רישא וסעיף 144(א) סיפא לחוק העונשין תשל\""ז – 1977"", ""קוטר_קליעים"": ""8 מ\""מ"", ""תקופת_ההחזקה"": ""עובר ליום 28/08/2017""}","{""זמן_העבירה"": ""12.7.08 בשעה 00:55 לערך"", ""כמות_תחמושת"": ""מחסנית ובה 15 כדורים, מחסנית נוספת ובה כ-10 כדורים"", ""מטרת_החזקת_הסם"": ""שימוש עצמי"", ""מיקום_העבירה"": ""סמוך לצומת הערבה"", ""מספר_עבירות_נשק"": 2, ""משקל_הסם_גרם"": 1.36, ""נסיבות_ביצוע"": ""בעת נהיגה ברכב"", ""סוג_הנשק"": ""אקדח בקוטר 0.9 מ\""מ"", ""סוג_הסם"": ""חשיש"", ""סוגי_עבירות"": [""נשיאת נשק"", ""החזקת סם לצריכה עצמית""], ""סעיפי_חוק"": [""סעיף 144(ב) לחוק העונשין, התשל\""ז-1977"", ""סעיף 7(א)+(ג) סיפא לפקודת הסמים המסוכנים, התשל\""ג-1973""]}"
SH-18-06-11098-353,ME-16-03-54615-517,1,0,0,"{""האם_החזקה_הייתה_שלא_כדין"": ""כן"", ""האם_הנאשם_הודה"": ""כן"", ""מועד_העבירה"": ""23/05/18"", ""מצב_הנשק"": ""מספר סידורי נמחק"", ""סוג_הנשק"": ""רובה סער מסוג גליל"", ""סוג_העבירה"": ""אחזקת נשק ותחמושת שלא כדין"", ""סוג_תחמושת"": ""מחסניות ותחמושת"", ""סעיף_חוק"": ""סעיף 144(א) רישא וסיפא לחוק העונשין, תשל\""ז-1977""}","{""החלפת_נשק"": ""בוצעה החלפה של תת-מקלע ראשון בשני"", ""יוזם_הפניה"": ""מחמד עליאן"", ""מיקום_המסירה"": ""סמוך לביתו של מחמד עליאן"", ""מניע_הנאשם"": ""רווח כספי"", ""מספר_אירועים"": ""שני אירועים של מסירת נשק"", ""מספר_כלי_נשק"": ""שניים"", ""סוג_הנשק"": ""תת-מקלע מסוג קרלו"", ""סוג_העבירה"": ""סחר בנשק"", ""סעיף_חוק"": ""סעיף 144(ב2) לחוק העונשין התשל\""ז-1977"", ""קשר_בין_הצדדים"": ""היכרות מוקדמת בין הנאשם למחמד עליאן"", ""תמורה_כספית"": ""3,000 ש\""ח"", ""תקופת_ביצוע"": ""פברואר 2016"", ""תקינות_הנשק"": ""שני כלי הנשק לא פעלו כראוי""}"
ME-17-05-633-549,ME-19-04-1316-977,3,1,1,"{""אופי_העסקאות"": [""רכישה בכסף"", ""החלפת נשק תמורת נשק"", ""מכירה בכסף""], ""כמות_נשק"": ""3 כלי נשק שונים"", ""מאפיינים_נוספים"": [""נשק מאולתר"", ""מנגנון הדק חסר ומאולתר"", ""הנשק מסוגל לירות כדור או קלע שבכוחם להמית אדם""], ""מחסניות"": ""שתי מחסניות תואמות לאקדח, שתי מחסניות ריקות תואמות לאקדח"", ""מספר_אישומים"": ""3"", ""סוגי_נשק"": [""תת מקלע מאולתר מסוג קרלו"", ""אקדח חצי אוטומטי מסוג סירקיס"", ""אקדח מסוג חלוואני""], ""סוגי_עבירות"": [""סחר בנשק"", ""רכישת נשק"", ""החזקה בנשק""], ""סעיפי_חוק"": [""144(ב2)"", ""144(ג)"", ""144(א) רישא"", ""144(א) סיפא""], ""שווי_עסקאות"": [""7,000 ש\""ח"", ""14,000 ש\""ח""], ""שותפים_לעבירה"": [""רביע חוסיין"", ""נצרי ח'ליפה""], ""שנות_ביצוע"": [""2013"", ""2015""], ""תחמושת"": ""מאות כדורים""}","{""אופי הקשר בין הצדדים"": ""שיחות טלפון ותיאום פגישות בין הנאשם לסוכן"", ""הצעות נוספות"": ""הצעת אקדח ותחמושת לעסקאות עתידיות"", ""זהות הרוכש"": ""סוכן משטרתי (לוחם 188, 'עלי')"", ""כמות תחמושת"": [""1,100 כדורי M16 (ניסיון)"", ""900 כדורי 5.56 מ\""מ (סחר)""], ""מועדי ביצוע"": [""10.2.2019"", ""14.2.2019"", ""17.2.2019"", ""18.2.2019"", ""26.2.2019"", ""3.3.2019"", ""13.3.2019"", ""17.3.2019"", ""18.3.2019""], ""מיקום ביצוע"": [""א-ראם""], ""מספר עסקאות"": 2, ""סוגי נשק"": [""תת מקלע מאולתר קרלו"", ""אקדח""], ""סוגי עבירות"": [""ניסיון לסחר בנשק"", ""סחר בנשק""], ""סוגי תחמושת"": [""כדורי M16"", ""כדורי 5.56 מ\""מ""], ""סטטוס העסקאות"": [""ניסיון שלא צלח (14-18.2.2019)"", ""עסקה שהושלמה (18.3.2019)""], ""סעיפי חוק"": [""סעיף 144(ב2) לחוק העונשין"", ""סעיף 25 לחוק העונשין""], ""שווי העסקאות"": [""17,000 ש\""ח (ניסיון)"", ""19,000 ש\""ח (סחר)"", ""18,000 ש\""ח (הצעה לאקדח)""], ""שיטת פעולה"": ""פנייה יזומה לסוכן, תיאום פגישות, מסירת נשק ותחמושת ברכב, קבלת תשלום במזומן"", ""שימוש באחרים"": ""מעורבות של אחר לא מזוהה לצורך השגת הנשק""}"
ME-16-04-12480-812,ME-13-10-28139-807,3,1,1,"{""אמצעי תקיפה"": [""נשק חם"", ""תת מקלע מאולתר"", ""תחמושת"", ""מחסנית""], ""האם בוצע איום"": ""כן"", ""האם בוצע הסוואת זהות"": ""כן, הנאשם רעול פנים באירוע הראשון"", ""האם בוצע ירי באוויר"": ""כן"", ""האם בוצע ירי לעבר אדם"": ""כן"", ""האם בוצע ירי לעבר בית מגורים"": ""כן"", ""האם בוצע מעקב או תכנון מוקדם"": ""כן, הגעה יזומה לאתר בניה ולבית המתלונן"", ""האם בוצע ניסיון חבלה חמורה"": ""כן"", ""האם בוצע ריבוי אירועים"": ""כן, שלושה אירועים נפרדים"", ""האם בוצע ריבוי עבירות נשק"": ""כן"", ""האם בוצע שימוש בנשק מאולתר"": ""כן, תת מקלע מאולתר"", ""האם בוצע שימוש ברכב"": ""כן, הגעה לאתר בניה ברכב"", ""האם בוצע שימוש בתחמושת רבה"": ""כן, לפחות 17 כדורים נתפסו בנוסף לירי"", ""האם בוצעה הובלת נשק שלא כדין"": ""כן"", ""האם בוצעה החזקת נשק שלא כדין"": ""כן"", ""האם בוצעה הסתרת נשק"": ""כן, בזחל של כלי עבודה ובמכולה באתר בניה"", ""האם בוצעה נשיאת נשק שלא כדין"": ""כן"", ""האם היה מניע אישי"": ""כן, חוב כספי"", ""האם היו עדים לאירוע"": ""כן, עובד באתר בניה ובני משפחת המתלונן"", ""מספר אישומים"": 3, ""מספר יריות"": ""כ-14 יריות בסך הכל (2 באירוע הראשון, 12 באירוע השני)"", ""מקום ביצוע העבירות"": [""טירת הכרמל"", ""אתר בניה"", ""קרבת בית המתלונן""], ""משך הזמן בין האירועים"": ""יומיים בין האישום הראשון לשני, יום בין השני לשלישי"", ""סעיפי חוק"": [""סעיף 25"", ""סעיף 335"", ""סעיף 333"", ""סעיף 144(א)"", ""סעיף 144(ב)"", ""סעיף 192""], ""עבירות עיקריות"": [""ניסיון חבלה חמורה בנסיבות מחמירות"", ""עבירות בנשק (החזקה)"", ""עבירות בנשק (נשיאה והובלה)"", ""איומים""], ""פגיעה בגוף"": ""לא דווח על פגיעה פיזית בפועל"", ""פגיעה ברכוש"": ""פגיעות בקירות החיצוניים של בית המתלונן והמרפסת"", ""רקע לאירוע"": ""חוב כספי של 300 ש\""ח בגין עסקת רכב בין הנאשם למתלונן""}","{""איום_מילולי"": ""הנאשם איים על המתלונן באמירה 'אם תעשה את זה עוד פעם אני אראה לך'"", ""בריחה_מהזירה"": ""הנאשם נמלט מהמקום לאחר הירי"", ""זהות_הקורבנות"": ""המתלונן ובנו (קטין כבן 18)"", ""מניע_נטען"": ""סכסוך שכנים על שימוש בספסל"", ""מספר_קורבנות_פוטנציאליים"": ""2"", ""מערכת_יחסים_בין_הצדדים"": ""שכנים"", ""מקום_האירוע"": ""ליד בית המתלונן בעיר רהט, ברכבו של המתלונן"", ""נסיבות_האירוע"": ""הנאשם ניגש לרכב, איים על המתלונן, התרחק וירה מספר יריות לעבר דלת הנהג"", ""נשק_ששימש_בעבירה"": ""אקדח מסוג לא ידוע"", ""סוג_העבירה"": ""עבירות בנשק וניסיון לחבלה חמורה בנסיבות מחמירות"", ""סעיפי_חוק"": ""144(א) רישא, 333, 335(א)(1), 25 לחוק העונשין"", ""פגיעה_ברכוש"": ""פגיעת קליעים בדלת הנהג של הרכב"", ""פגיעה_פיזית_בפועל"": ""לא נגרמה פגיעה פיזית"", ""רקע_לאירוע"": ""מחלוקות בין משפחות הצדדים על שימוש בספסל בטון סמוך לבית המתלונן""}"
ME-17-05-633-549,ME-09-05-16192-355,1,0,0,"{""אופי_העסקאות"": [""רכישה בכסף"", ""החלפת נשק תמורת נשק"", ""מכירה בכסף""], ""כמות_נשק"": ""3 כלי נשק שונים"", ""מאפיינים_נוספים"": [""נשק מאולתר"", ""מנגנון הדק חסר ומאולתר"", ""הנשק מסוגל לירות כדור או קלע שבכוחם להמית אדם""], ""מחסניות"": ""שתי מחסניות תואמות לאקדח, שתי מחסניות ריקות תואמות לאקדח"", ""מספר_אישומים"": ""3"", ""סוגי_נשק"": [""תת מקלע מאולתר מסוג קרלו"", ""אקדח חצי אוטומטי מסוג סירקיס"", ""אקדח מסוג חלוואני""], ""סוגי_עבירות"": [""סחר בנשק"", ""רכישת נשק"", ""החזקה בנשק""], ""סעיפי_חוק"": [""144(ב2)"", ""144(ג)"", ""144(א) רישא"", ""144(א) סיפא""], ""שווי_עסקאות"": [""7,000 ש\""ח"", ""14,000 ש\""ח""], ""שותפים_לעבירה"": [""רביע חוסיין"", ""נצרי ח'ליפה""], ""שנות_ביצוע"": [""2013"", ""2015""], ""תחמושת"": ""מאות כדורים""}","{""אופן_החזקה"": ""הנאשם והאחר החזיקו יחד"", ""אופן_התפיסה"": ""הרכב נעצר על ידי המשטרה, בוצע חיפוש ונמצאו הנשק והמחסנית"", ""בעלות_הרכב"": ""האחר"", ""מספר_מעורבים"": ""2"", ""מצב_הנשק"": ""המחסנית היתה במצב הכנס"", ""מקום_ביצוע"": ""אום אל פחם"", ""מקום_הנשק_ברכב"": ""תא המטען"", ""סוג_הנשק"": ""רובה תת מקלע מסוג קרלו"", ""סוג_העבירה"": ""נשיאת והובלת נשק"", ""סוג_הרכב"": ""טויוטה"", ""סעיפי_חוק"": ""סעיפים 144(ב) רישא+29 לחוק העונשין, התשל\""ז – 1977"", ""קשר_בין_המעורבים"": ""בני משפחה"", ""רישיון_להחזקת_נשק"": ""ללא רשות על פי דין"", ""תאריך_ושעה"": ""19.5.09, 23:30"", ""תגובה_למשטרה"": ""ניסיון להימלט מהשוטרים בנסיעה לאחור"", ""תחמושת"": ""מחסנית עם 10 כדורי 9 מ\""מ""}"
ME-16-05-336-804,ME-15-12-39071-113,1,0,0,"{""אמצעי_הסתרה"": ""נשיאת הנשק והתחמושת בתוך תיק גב"", ""זמן_העבירה"": ""שעת ערב, 24/04/16"", ""מספר_מחסניות"": ""2 מחסניות ריקות"", ""מעורבות_משטרה"": ""כן, שוטרים רדפו אחרי הרכב ותפסו את התיק עם הנשק והתחמושת"", ""מקום_העבירה"": ""טקס חינה, רחוב סמוך, רכב פרטי"", ""ניסיון_הימלטות"": ""כן, ניסיון להימלט מהמשטרה ברכב"", ""סוג_הנשק"": ""תת מקלע מאולתר מסוג קרל גוסטב"", ""סוג_העבירה"": ""נשיאה והובלת נשק, אביזר נשק ותחמושת"", ""סוג_תחמושת"": ""26 כדורים מסוג 9 מ\""מ"", ""סעיף_חוק"": ""סעיף 144 (ב) רישא וסיפא לחוק העונשין"", ""פעולות_שבוצעו"": ""נשיאת נשק, פריקת נשק, נקירה, הובלת נשק ותחמושת ברכב, השלכת נשק ותחמושת מהחלון"", ""שותפים_לעבירה"": ""רדואן סמארה (נהג הרכב)""}","{""זמן_העבירה"": ""12.10.13 בשעה 22:30 או בסמוך לכך"", ""מיקום_הנשק"": ""מתחת לשטיח שמתחת למושב ברכב"", ""מיקום_העבירה"": ""כביש מספר 1, בסמוך למחלף הראל"", ""מספר_רישוי_הרכב"": ""71-098-16"", ""מעמד_הנאשם_ברכב"": ""יושב במושב הסמוך לנהג"", ""סוג_הנשק"": ""אקדח חצי אוטומטי מסוג סטאר"", ""סוג_העבירה"": ""אחזקת נשק"", ""סוג_הרכב"": ""מזדה 3"", ""סעיף_חוק"": ""סעיף 144(א) רישא לחוק העונשין, תשל\""ז-1977"", ""רישיון_להחזקת_נשק"": ""ללא רישיון""}"
