verdict_1,verdict_2,domain,similarity_score
תפ_19835-04-13,תפח_30145-08-13,weapon,2.5867658
תפ_36831-09-13,תפ_5911-11-16,drugs,5.994355
תפ_28787-04-22,תפ_35431-03-21,weapon,3.9240234
תפ_16760-09-22,תפ_63155-05-23,weapon,6.4388433
תפ_18210-05-23,תפ_31935-12-21,weapon,3.1067
תפ_10650-11-21,תפ_1580-11-23,weapon,2.8597555
תפ_35295-09-23,תפ_58524-11-19,weapon,0.31882516
תפ_10875-12-21,תפ_21029-10-19,weapon,6.3195157
תפ_57001-11-21,תפ_59067-10-21,weapon,5.1259913
תפ_14115-07-19,תפ_7735-04-19,weapon,6.6236105
תפ_28845-04-22,תפח_17033-01-22,weapon,3.810696
תפ_34669-01-23,תפ_58027-12-21,weapon,9.590041
תפ_21503-07-23,תפ_42164-10-19,drugs,6.614048
תפ_25631-03-22,תפ_52848-09-22,weapon,9.609547
עפ_6029-03,תפ_59971-01-17,drugs,7.6738214
תפ_22417-12-21,תפ_52789-09-22,weapon,4.06989
תפ_25639-03-21,תפ_69640-10-18,weapon,4.0189633
תפ_59422-07-14,תפ_63355-02-23,weapon,2.7795832
תפ_46108-06-20,תפ_59260-03-16,weapon,7.421276
תפ_23648-12-19,תפ_4248-06-16,weapon,3.2958488
תפ_19759-07-21,תפ_23253-12-15,weapon,3.7254205
תפ_27277-01-15,תפ_66319-05-20,weapon,5.6844544
תפ_50626-09-22,תפ_53377-09-22,weapon,5.485422
תפ_11545-01-19,תפ_59811-06-20,drugs,8.310483
תפ_22417-12-21,תפ_58027-12-21,weapon,6.0732784
תפ_17304-12-17,תפ_21696-04-20,weapon,4.973142
תפ_45181-01-14,תפ_48352-05-15,drugs,1.8834553
תפ_11104-07-19,תפ_33420-12-20,weapon,2.4438324
תפ_44129-09-19,תפ_49305-06-16,drugs,18.222187
תפ_31334-11-15,תפ_44157-08-16,weapon,1.9945848
תפ_3910-02-23,תפ_52964-03-22,weapon,8.688763
תפ_3526-04-21,תפ_69278-05-18,drugs,3.1733203
תפ_11104-07-19,תפ_18689-01-17,weapon,3.780407
תפ_20477-02-20,תפ_40999-01-21,weapon,1.4315356
תפ_35843-03-22,תפ_37966-04-23,weapon,2.4616883
תפ_1197-11-21,תפ_30197-04-17,drugs,9.432736
תפ_51810-03-15,תפ_62794-11-21,drugs,0.1319209
תפ_1631-01-22,תפ_52479-01-18,weapon,3.9270124
תפ_18912-06-23,תפ_28845-04-22,weapon,2.8732247
תפ_16996-08-12,תפ_27685-11-15,weapon,4.4671445
תפ_1589-02-16,תפ_57539-11-15,weapon,4.4263854
תפ_3531-12-13,תפ_52077-12-20,weapon,3.8945513
תפ_36287-01-22,תפ_62452-10-20,weapon,6.15411
תפ_395-05-17,תפ_43009-08-20,weapon,3.5530176
תפ_31862-05-13,תפ_59260-03-16,weapon,3.061266
תפ_31498-01-16,תפ_37386-11-13,weapon,1.7295448
תפ_1506-02-24,תפ_9675-11-17,drugs,4.693275
תפ_15023-05-20,תפ_60380-03-22,drugs,0.27747208
תפ_40313-09-15,תפ_46737-07-22,weapon,2.2642014
תפ_17856-06-17,תפ_23992-11-21,weapon,2.332708
תפ_32227-11-20,תפ_46930-03-22,weapon,6.321871
תפ_17137-11-21,תפ_34694-09-21,weapon,3.4922833
תפ_34792-10-18,תפ_59971-01-17,drugs,10.64775
