cluster,label,n_member_names,n_reps,reps,cov_Hybrid-Manual,cov_Hybrid-Full,cov_GPT-Law,cov_GPT-Free,members
302,עבירה,2,4,Hybrid-Manual|Hybrid-Full|GPT-Law|GPT-Free,68,68,18,15,עבירה ; עבירות
270,סוג_הסם,4,4,Hybrid-Manual|Hybrid-Full|GPT-Law|GPT-Free,9,4,46,49,סוג_הסם ; סוג_סם ; סוג_הסם_בפרט ; סוגי_סם
272,סוג_העבירה,3,4,Hybrid-Manual|Hybrid-Full|GPT-Law|GPT-Free,4,3,19,30,סוג_העבירה ; סוג_עבירה_נוספת ; סוג_העבירה_הנוספת
146,מיקום_העבירה,4,4,Hybrid-Manual|Hybrid-Full|GPT-Law|GPT-Free,11,14,10,7,מיקום_העבירה ; מקום_העבירה ; מיקום_העבירות ; מקום_העבירות
363,מספר_עסקאות,4,4,Hybrid-Manual|Hybrid-Full|GPT-Law|GPT-Free,1,2,15,19,מספר_עסקאות ; מספר_עסקאות_סחר ; מספר_עסקאות_סמים ; מספר_עסקאות_סם
26,מיקום המעבדה,2,4,Hybrid-Manual|Hybrid-Full|GPT-Law|GPT-Free,15,13,1,1,מיקום_המעבדה ; כתובת_המעבדה
154,שווי הסם,5,4,Hybrid-Manual|Hybrid-Full|GPT-Law|GPT-Free,9,8,4,6,שווי_הסם ; שווי_הסם_בשוק ; שווי_הסם_שח ; שווי_כולל_של_הסם_בשוק ; שווי_שוק_של_הסם
27,כמות הסם,4,4,Hybrid-Manual|Hybrid-Full|GPT-Law|GPT-Free,5,2,2,16,כמות_הסם ; כמות_סם ; כמות_כוללת_סם ; כמות_סם_נוסף
44,מספר נאשמים,4,4,Hybrid-Manual|Hybrid-Full|GPT-Law|GPT-Free,2,4,7,6,מספר_נאשמים ; מספר_נאשמים_בפרשה ; מספר_נאשמים_בתיק ; מספר_נאשם
813,סעיפי_אישום,2,4,Hybrid-Manual|Hybrid-Full|GPT-Law|GPT-Free,1,1,12,3,סעיפי_אישום ; סעיפי_האישום
169,תקופת_העבירה,2,4,Hybrid-Manual|Hybrid-Full|GPT-Law|GPT-Free,3,2,5,7,תקופת_העבירה ; תקופת_העבירות
319,מספר_שתילים,3,4,Hybrid-Manual|Hybrid-Full|GPT-Law|GPT-Free,2,3,8,3,מספר_שתילים ; מספר_שתילים_ומשקל_נטו ; מספר_שתילים_ומשקלם
37,סוג הרכב,5,4,Hybrid-Manual|Hybrid-Full|GPT-Law|GPT-Free,7,5,3,1,סוג_הרכב ; סוג_רכב ; סוג_רכב_הנאשם ; סוג_הרכב_במסירה ; סוגי_רכבים
140,עבירה_נוספת,2,4,Hybrid-Manual|Hybrid-Full|GPT-Law|GPT-Free,1,1,11,3,עבירה_נוספת ; עבירות_נוספות
107,תאריך העבירה,3,4,Hybrid-Manual|Hybrid-Full|GPT-Law|GPT-Free,5,4,2,4,תאריך_העבירה ; תאריך_העבירה_האחרונה ; תאריך_העבירות
