domain,rep,model,task,F1,Precision,Recall,F1_CV,Precision_CV,Recall_CV,AP_PR
drugs,Manual,gpt4,0,0.927536231884058,0.9411764705882353,0.9142857142857143,0.927536231884058,0.9411764705882353,0.9142857142857143,0.959245179533748
drugs,Manual,gpt4,1,0.8539325842696629,0.9743589743589743,0.76,0.8351648351648352,0.926829268292683,0.76,0.9270699804441369
drugs,Manual,gpt5mini,0,0.9117647058823529,0.9393939393939394,0.8857142857142857,0.8787878787878788,0.9354838709677419,0.8285714285714286,0.9538497793896326
drugs,Manual,gpt5mini,1,0.8514851485148515,0.8431372549019608,0.86,0.8514851485148515,0.8431372549019608,0.86,0.921381143621599
drugs,Manual,gpt52,0,0.9117647058823529,0.9393939393939394,0.8857142857142857,0.8985507246376812,0.9117647058823529,0.8857142857142857,0.9638637337788035
drugs,Manual,gpt52,1,0.851063829787234,0.9090909090909091,0.8,0.8387096774193549,0.9069767441860465,0.78,0.9219100000018003
drugs,Manual,gpt51_thinking,0,0.9090909090909091,0.967741935483871,0.8571428571428571,0.8823529411764706,0.9090909090909091,0.8571428571428571,0.9659789800573212
drugs,Manual,gpt51_thinking,1,0.8478260869565217,0.9285714285714286,0.78,0.7878787878787878,0.7959183673469388,0.78,0.9296647204499167
drugs,Manual,claude_sonnet_4_6,0,0.9552238805970149,1.0,0.9142857142857143,0.9393939393939394,1.0,0.8857142857142857,0.9753907109839314
drugs,Manual,claude_sonnet_4_6,1,0.8723404255319149,0.9318181818181818,0.82,0.8723404255319149,0.9318181818181818,0.82,0.9371760695212428
drugs,Manual,gemini_25_pro,0,0.9166666666666666,0.8918918918918919,0.9428571428571428,0.9166666666666666,0.8918918918918919,0.9428571428571428,0.9584641587632614
drugs,Manual,gemini_25_pro,1,0.8275862068965517,0.972972972972973,0.72,0.8,0.9,0.72,0.9041755745053157
drugs,Manual,gemini_3_flash,0,0.8985507246376812,0.9117647058823529,0.8857142857142857,0.8405797101449275,0.8529411764705882,0.8285714285714286,0.9525634771145607
drugs,Manual,gemini_3_flash,1,0.8723404255319149,0.9318181818181818,0.82,0.8723404255319149,0.9318181818181818,0.82,0.92291009126569
drugs,Manual,gemma3_27b,0,0.90625,1.0,0.8285714285714286,0.90625,1.0,0.8285714285714286,0.9430814083875309
drugs,Manual,gemma3_27b,1,0.8118811881188119,0.803921568627451,0.82,0.7884615384615384,0.7592592592592593,0.82,0.8915130282882384
drugs,Manual,gemma4_31b_or,0,0.918918918918919,0.8717948717948718,0.9714285714285714,0.918918918918919,0.8717948717948718,0.9714285714285714,0.9647045308335631
drugs,Manual,gemma4_31b_or,1,0.865979381443299,0.8936170212765957,0.84,0.8541666666666666,0.8913043478260869,0.82,0.9212719393788513
drugs,Manual,llama3_70b,0,0.8641975308641975,0.7608695652173914,1.0,0.8311688311688312,0.7619047619047619,0.9142857142857143,0.9316770186335404
drugs,Manual,llama3_70b,1,0.8541666666666666,0.8913043478260869,0.82,0.8541666666666666,0.8913043478260869,0.82,0.8943116385503699
drugs,Manual,qwen3_vl_235b_or,0,0.9090909090909091,0.967741935483871,0.8571428571428571,0.8923076923076924,0.9666666666666667,0.8285714285714286,0.9522801925459651
drugs,Manual,qwen3_vl_235b_or,1,0.8333333333333334,0.8695652173913043,0.8,0.8333333333333334,0.8695652173913043,0.8,0.9138247217403228
drugs,GPT-Schema,gpt4,0,0.8307692307692308,0.9,0.7714285714285715,0.7575757575757576,0.8064516129032258,0.7142857142857143,0.9273147019269468
drugs,GPT-Schema,gpt4,1,0.8269230769230769,0.7962962962962963,0.86,0.8269230769230769,0.7962962962962963,0.86,0.896880394771024
drugs,GPT-Schema,gpt5mini,0,0.9117647058823529,0.9393939393939394,0.8857142857142857,0.8955223880597015,0.9375,0.8571428571428571,0.9695422704121078
drugs,GPT-Schema,gpt5mini,1,0.8222222222222222,0.925,0.74,0.8043478260869565,0.8809523809523809,0.74,0.8988786025154787
drugs,GPT-Schema,gpt52,0,0.875,0.9655172413793104,0.8,0.8235294117647058,0.8484848484848485,0.8,0.9310293851610673
drugs,GPT-Schema,gpt52,1,0.8210526315789474,0.8666666666666667,0.78,0.8041237113402062,0.8297872340425532,0.78,0.9061506600469779
drugs,GPT-Schema,gpt51_thinking,0,0.8607594936708861,0.7727272727272727,0.9714285714285714,0.8461538461538461,0.7674418604651163,0.9428571428571428,0.9392378041062251
drugs,GPT-Schema,gpt51_thinking,1,0.8316831683168316,0.8235294117647058,0.84,0.8041237113402062,0.8297872340425532,0.78,0.9029605980019839
drugs,GPT-Schema,claude_sonnet_4_6,0,0.9166666666666666,0.8918918918918919,0.9428571428571428,0.9166666666666666,0.8918918918918919,0.9428571428571428,0.9736881361881362
drugs,GPT-Schema,claude_sonnet_4_6,1,0.8484848484848485,0.8571428571428571,0.84,0.8316831683168316,0.8235294117647058,0.84,0.9230792486908532
drugs,GPT-Schema,gemini_25_pro,0,0.8860759493670886,0.7954545454545454,1.0,0.8571428571428571,0.7857142857142857,0.9428571428571428,0.9498637374474016
drugs,GPT-Schema,gemini_25_pro,1,0.851063829787234,0.9090909090909091,0.8,0.8387096774193549,0.9069767441860465,0.78,0.8916907518493814
drugs,GPT-Schema,gemini_3_flash,0,0.9014084507042254,0.8888888888888888,0.9142857142857143,0.8857142857142857,0.8857142857142857,0.8857142857142857,0.9617034903552989
drugs,GPT-Schema,gemini_3_flash,1,0.8333333333333334,0.8695652173913043,0.8,0.7959183673469388,0.8125,0.78,0.9092822889509253
drugs,GPT-Schema,gemma3_27b,0,0.8333333333333334,0.7142857142857143,1.0,0.7894736842105263,0.7317073170731707,0.8571428571428571,0.9183673469387755
drugs,GPT-Schema,gemma3_27b,1,0.8461538461538461,0.8148148148148148,0.88,0.8235294117647058,0.8076923076923077,0.84,0.894588294061586
drugs,GPT-Schema,gemma4_31b_or,0,0.9041095890410958,0.868421052631579,0.9428571428571428,0.9041095890410958,0.868421052631579,0.9428571428571428,0.9452384761295336
drugs,GPT-Schema,gemma4_31b_or,1,0.8444444444444444,0.95,0.76,0.8444444444444444,0.95,0.76,0.9051296422305477
drugs,GPT-Schema,llama3_70b,0,0.8192771084337349,0.7083333333333334,0.9714285714285714,0.8048780487804879,0.7021276595744681,0.9428571428571428,0.8894268774703558
drugs,GPT-Schema,llama3_70b,1,0.8163265306122449,0.8333333333333334,0.8,0.7878787878787878,0.7959183673469388,0.78,0.8767400433252901
