verdict_1,verdict_2,domain,similarity_score
תפ_16505-02-18,תפ_9723-10-19,weapon,10
תפ_25806-05-22,תפ_7430-02-18,drugs,35
תפ_32787-10-18,תפ_41762-12-20,weapon,35
תפ_1064-10-21,תפ_39297-02-18,drugs,20
תפ_2232-08-15,תפ_64314-11-16,drugs,38
תפ_24517-02-24,תפ_35473-12-21,weapon,55
תפ_4353-02-23,תפ_59067-10-21,weapon,10
תפ_32787-10-18,תפ_3451-02-14,weapon,45
תפ_16449-02-20,תפ_56726-02-23,drugs,65
תפ_25603-08-15,תפ_40920-10-20,drugs,70
תפ_16506-10-14,תפ_58511-01-20,weapon,35
תפ_182-11-12,תפ_33509-06-13,weapon,38
תפ_48537-12-23,תפח_4633-09-16,weapon,35
תפ_34027-04-18,תפ_41326-11-15,weapon,65
תפ_27782-05-13,תפ_53539-11-17,weapon,10
תפ_30310-09-23,תפ_9228-05-21,drugs,35
תפ_12401-05-22,תפ_41041-07-21,weapon,35
תפ_30039-04-20,תפ_53805-09-16,drugs,85
תפ_28715-03-22,תפ_53871-07-24,weapon,35
תפ_26647-05-17,תפ_61181-02-19,drugs,65
תפ_1136-11-21,תפ_37255-05-14,drugs,25
תפ_43263-03-21,תפ_864-02-17,drugs,30
תפ_2415-12-13,תפ_53450-04-13,drugs,45
תפ_30913-02-21,תפ_43983-05-19,drugs,35
תפ_26087-05-16,תפ_40932-03-18,weapon,55
תפ_1491-03-23,תפ_22371-09-21,drugs,20
תפ_22154-04-14,תפ_47147-11-12,weapon,0
תפ_48978-07-21,תפ_60792-07-18,weapon,60
תפ_51209-04-23,תפ_61299-12-19,weapon,35
תפ_37546-04-15,תפ_55654-02-21,drugs,10
תפ_30169-09-16,תפ_66755-06-20,drugs,35
תפ_22405-05-23,תפ_42581-06-21,weapon,15
תפ_10347-10-23,תפ_14070-06-24,weapon,30
תפ_51991-06-16,תפ_9733-02-21,drugs,38
תפ_10549-06-15,תפ_18907-07-12,weapon,35
תפ_41562-09-14,תפ_69643-05-18,weapon,35
תפ_22471-01-14,תפ_29269-02-14,drugs,65
תפ_5085-07-17,תפ_535-12,weapon,60
תפ_41269-05-16,תפ_59087-01-18,drugs,75
תפ_20778-11-12,תפ_47668-06-16,weapon,35
תפ_54104-07-12,תפ_69261-01-23,weapon,65
תפ_29790-07-15,תפ_43694-08-17,drugs,65
תפ_35163-03-18,תפ_64832-01-15,weapon,20
תפ_40649-08-16,תפ_4261-09-22,drugs,25
תפ_47348-11-21,תפ_52515-03-20,weapon,45
תפ_26928-08-19,תפ_40186-04-19,drugs,45
תפ_16543-05-16,תפ_35259-01-13,weapon,65
תפ_11362-10-15,תפ_3295-04-18,weapon,65
תפ_11112-06-13,תפ_14611-12-21,drugs,30
תפ_41269-05-16,תפ_43195-09-15,drugs,35
תפ_28953-06-18,תפ_42673-04-12,drugs,30
תפ_12241-08-20,תפ_17677-04-17,drugs,85
תפ_60154-02-19,תפ_68700-11-18,drugs,80
תפ_11680-11-22,תפ_20767-09-16,drugs,55
תפ_29177-05-21,תפ_29401-11-12,drugs,85
תפ_38149-09-17,תפ_824-06-17,drugs,65
תפ_10596-12-20,תפ_24516-06-21,drugs,35
תפ_34938-09-18,תפ_6944-03-22,drugs,20
תפ_31647-04-18,תפ_63404-02-24,drugs,55
תפ_17021-03-13,תפ_19260-11-14,drugs,18
תפ_17462-06-14,תפ_21284-10-19,drugs,35
תפ_375-02-19,תפ_42032-10-17,drugs,40
תפ_1390-04-22,תפ_45226-12-22,weapon,55
תפ_13416-09-16,תפ_24955-06-11,weapon,10
תפ_28157-02-23,תפ_52204-12-21,drugs,25
תפ_43916-09-17,תפ_58615-06-16,drugs,20
תפ_17610-09-15,תפ_50263-01-13,drugs,65
תפ_14474-03-20,תפ_6659-02-21,drugs,85
תפ_39333-05-22,תפ_6399-03-17,drugs,10
תפ_27553-06-22,תפ_64206-07-21,drugs,35
תפ_26856-05-16,תפ_44540-10-20,drugs,45
תפ_39668-07-14,תפ_49156-08-15,drugs,25
תפ_16779-09-22,תפ_61118-07-23,weapon,30
תפ_20770-11-22,תפ_30546-10-23,weapon,35
תפ_7165-06-15,תפ_8718-02-14,weapon,40
תפ_11982-05-10,תפ_9693-11-14,weapon,65
תפ_13412-02-21,תפ_51811-03-21,drugs,30
תפ_1995-03-17,תפ_57972-08-24,weapon,25
תפ_30706-05-21,תפ_57526-07-21,weapon,38
תפ_33318-10-23,תפ_54337-05-21,weapon,65
תפ_24670-05-23,תפ_6968-01-24,weapon,90
תפ_43271-05-21,תפח_21297-07-14,weapon,65
תפ_1178-06-21,תפ_7735-04-19,weapon,35
תפ_11845-11-16,תפ_59199-09-19,drugs,65
תפ_11191-03-24,תפ_14998-08-16,drugs,65
תפ_14829-07-16,תפ_57680-10-15,drugs,75
תפ_4001-11-12,תפ_4559-10-21,drugs,65
תפ_48772-11-20,תפ_69476-07-20,weapon,0
תפ_18944-02-19,תפ_44877-06-13,drugs,55
תפ_34594-07-13,תפ_45339-12-20,weapon,75
תפ_30575-03-20,תפ_55185-02-20,weapon,30
תפ_45008-08-24,תפ_6695-10-23,weapon,35
תפ_2718-07-10,תפ_27625-02-21,weapon,5
תפ_13301-07-18,תפ_14284-06-21,weapon,45
תפ_54047-01-13,תפ_62893-04-21,drugs,18
תפ_37055-07-12,תפ_58944-08-21,drugs,75
תפ_28804-09-13,תפ_56691-03-21,drugs,18
תפ_10003-05-16,תפ_5341-07-19,drugs,75
תפ_34832-04-19,תפ_52165-12-17,drugs,20
תפ_36220-12-15,תפ_63029-12-20,drugs,35
תפ_10902-08-22,תפ_21557-06-16,drugs,45
תפ_35105-06-12,תפ_54514-04-22,weapon,35
תפ_57283-05-21,תפ_9785-12-15,weapon,28
תפ_27330-02-19,תפ_52225-03-18,weapon,18
תפ_2211-11-19,תפ_28315-05-23,drugs,95
תפ_17021-03-13,תפ_63404-02-24,drugs,65
תפ_1562-02-24,תפ_7486-05-18,drugs,35
תפ_26210-11-21,תפ_38355-09-23,weapon,35
תפ_2415-12-13,תפ_45961-07-17,drugs,55
תפ_34888-05-24,תפ_52876-12-23,drugs,55
תפ_54873-07-15,תפ_79589-07-24,drugs,23
תפ_32041-03-21,תפ_61004-06-17,drugs,45
תפ_27506-03-21,תפ_8960-10-20,drugs,35
תפ_21384-01-23,תפ_36367-09-19,drugs,55
תפ_23851-06-15,תפ_26087-05-16,weapon,25
תפ_33842-02-14,תפ_3675-07-15,drugs,10
תפ_13236-03-18,תפ_30310-09-23,drugs,60
תפ_1062-08-22,תפ_18193-01-11,drugs,18
תפ_4039-05-19,תפ_42253-12-23,drugs,35
תפ_31394-12-15,תפ_45759-12-17,drugs,25
תפ_19741-04-17,תפ_69777-03-23,weapon,55
תפ_18912-06-23,תפ_30744-08-24,weapon,35
תפ_10096-07-19,תפ_27581-02-13,weapon,10
תפ_13706-08-12,תפ_9873-02-17,weapon,35
תפ_15390-11-15,תפק_16525-10-19,drugs,20
תפ_61865-12-16,תפ_8633-04-15,drugs,75
תפ_13748-03-15,תפ_63637-06-17,drugs,10
תפ_74569-05-24,תפ_8416-07-21,weapon,35
תפ_51176-10-17,תפ_9220-06-20,drugs,15
תפ_23475-08-13,תפ_24088-12-13,weapon,0
תפ_34222-02-20,תפ_5188-10-21,drugs,0
תפ_48974-11-20,תפ_59699-09-23,drugs,65
